row_label_raw,row_label_full,Đơn vị,"Nơi thành lập, đăng ký hoạt động","numeric__Nơi thành lập, đăng ký hoạt động"
Chi nhánh hạch toán phụ thuộc,Chi nhánh hạch toán phụ thuộc,Chi nhánh hạch toán phụ thuộc,Chi nhánh hạch toán phụ thuộc,
Công ty Cổ phần Hàng khôngVietjet - Chi nhánh tại Miền Trung,Công ty Cổ phần Hàng khôngVietjet - Chi nhánh tại Miền Trung,Công ty Cổ phần Hàng khôngVietjet - Chi nhánh tại Miền Trung,"200 Lê Đình Lý, Phường Hòa Cường, Thành phố Đà Nẵng, Việt Nam",
Văn phòng đại diện,Văn phòng đại diện,Văn phòng đại diện,Văn phòng đại diện,
Công ty Cổ phần Hàng khôngVietjet,Công ty Cổ phần Hàng khôngVietjet,Công ty Cổ phần Hàng khôngVietjet,"Tầng 8, Vietjet Plaza, 60A Trường Sơn, Phường Tân Sơn Hòa, Thành phố Hồ Chí Minh, Việt Nam",
Công ty Cổ phần Hàng khôngVietjet tại Bắc Kinh,Công ty Cổ phần Hàng khôngVietjet tại Bắc Kinh,Công ty Cổ phần Hàng khôngVietjet tại Bắc Kinh,"Phòng 221809-32, đơn nguyên 2, tầng 15, tỏa nhà số 6, sân số 1, đường Futong Đông, quận Triều Dương, thành phố Bắc Kinh",
Công ty Cổ phần Hàng khôngVietjet tại Thượng Hải,Công ty Cổ phần Hàng khôngVietjet tại Thượng Hải,Công ty Cổ phần Hàng khôngVietjet tại Thượng Hải,"Phòng A08, tòa chính, tầng 26 (thực tế tầng 25), số 99 đường Fucheng, Khu Thị điểm Thương mại Tự do Trung Quốc (Thượng Hải)",
Công ty Cổ phần Hàng khôngVietjet tại Quảng Châu,Công ty Cổ phần Hàng khôngVietjet tại Quảng Châu,Công ty Cổ phần Hàng khôngVietjet tại Quảng Châu,"Phòng 309, cánh Tây, tầng 3, số 53 phố Shamei Bắc, quận Lệ Loan, thành phố Quảng Châu",
