row_label_raw,row_label_full,STT,Tên Công ty,Hoạt động chính,Giấy chứng nhận Đăng ký Doanh nghiệp,"Nơi thành lập, đăng ký hoạt động",31/12/2025,31/12/2025_1,01/01/2025,01/01/2025_1,numeric__Tên Công ty,numeric__Hoạt động chính,numeric__Giấy chứng nhận Đăng ký Doanh nghiệp,"numeric__Nơi thành lập, đăng ký hoạt động",numeric__31/12/2025,numeric__31/12/2025_1,numeric__01/01/2025,numeric__01/01/2025_1
STT,STT,STT,Tên Công ty,Hoạt động chính,Giấy chứng nhận Đăng ký Doanh nghiệp,"Nơi thành lập, đăng ký hoạt động",Tỷ lệ sở hữu (%),Tỷ lệ quyền biểu quyết (%),Tỷ lệ sở hữu (%),Tỷ lệ quyền biểu quyết (%),,,,,,,,
I.,I.,I.,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,,,,,,,,
1,I. > 1,1,Vietjet Air IVB No. I Limited,Kinh doanh và cho thuê tàu bay và các bộ phận tàu bay,Số 1825671 ngày 27 tháng 5 năm 2014,British Virgin Islands,100,100,100,100,,,,,100.0,100.0,100.0,100.0
2,I. > 2,2,Vietjet Air IVB No. II Limited,Kinh doanh và cho thuê tàu bay,Số 1825613 ngày 27 tháng 5 năm 2014,British Virgin Islands,100,100,100,100,,,,,100.0,100.0,100.0,100.0
3,I. > 3,3,Vietjet Air Singapore Pte. Ltd.,Kinh doanh tàu bay,Số 201408849N ngày 27 tháng 3 năm 2014,Singapore,100,100,100,100,,,,,100.0,100.0,100.0,100.0
4,I. > 4,4,Vietjet Air Ireland No. 1 Limited,Kinh doanh và cho thuê tàu bay,Số 544879 ngày 3 tháng 6 năm 2014,Ireland,100,100,100,100,,,,,100.0,100.0,100.0,100.0
5,I. > 5,5,Công ty TNHH Galaxy Pay,"Cung cấp dịch vụ thanh toán (thanh toán trực tuyến, ví điện tử)",Số 0316368255 ngày 10 tháng 4 năm 2024,Việt Nam,100,100,100,100,,,,,100.0,100.0,100.0,100.0
6,I. > 6,6,Công ty Cổ phần Swift 247,"Hoạt động, dịch vụ hỗ trợ khác liên quan đến vận tải",Số 0315524536 ngày 27 tháng 11 năm 2023,Việt Nam,67,67,67,67,,,,,67.0,67.0,67.0,67.0
7,I. > 7,7,Công ty TNHH MTV Airport NEO (trước đây là Công ty TNHH MTV Phục vụ Mặt đất Vietjet),Cung cấp các dịch vụ hỗ trợ trực tiếp cho ngành vận chuyển hàng không,Số 0109783334 ngày 19 tháng 10 năm 2021,Việt Nam,100,100,100,100,,,,,100.0,100.0,100.0,100.0
8,I. > 8,8,Công ty Cổ phần Victoria Aviation Academy (trước đây là Công ty TNHH Victoria Academy),Cung cấp dịch vụ đào tạo,Số 0316563111 ngày 31 tháng 12 năm 2025,Việt Nam,95,95,-,-,,,,,95.0,95.0,,
