row_label_raw,row_label_full,Vốn góp của chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
VND,VND,VND,VND,VND,VND,,,
5.294.000.000.000,VND > 5.294.000.000.000,5.294.000.000.000,314.320.492.607,622.350.815.002,6.230.671.307.609,314320492607.0,622350815002.0,6230671307609.0
-,VND > -,-,-,425.823.579.061,425.823.579.061,,425823579061.0,425823579061.0
-,VND > -,-,34.065.886.324,(34.065.886.324),-,34065886324.0,-34065886324.0,
-,VND > -,-,-,(109.473.457.712),(109.473.457.712),,-109473457712.0,-109473457712.0
-,VND > -,-,-,(111.270.000),(111.270.000),,-111270000.0,-111270000.0
-,VND > -,-,-,(476.460.000.000),(476.460.000.000),,-476460000000.0,-476460000000.0
5.294.000.000.000,VND > 5.294.000.000.000,5.294.000.000.000,348.386.378.931,428.063.780.027,6.070.450.158.958,348386378931.0,428063780027.0,6070450158958.0
-,VND > -,-,-,661.564.443.308,661.564.443.308,,661564443308.0,661564443308.0
-,VND > -,-,66.156.444.331,(66.156.444.331),-,66156444331.0,-66156444331.0,
-,VND > -,-,-,(122.201.044.657),(122.201.044.657),,-122201044657.0,-122201044657.0
-,VND > -,-,-,315.244.328,315.244.328,,315244328.0,315244328.0
-,VND > -,-,-,(317.640.000.000),(317.640.000.000),,-317640000000.0,-317640000000.0
5.294.000.000.000,VND > 5.294.000.000.000,5.294.000.000.000,414.542.823.262,583.945.978.675,6.292.488.801.937,414542823262.0,583945978675.0,6292488801937.0
