row_label_raw,row_label_full,Năm nay,Nội địa,Nước ngoài,Tổng cộng,numeric__Nội địa,numeric__Nước ngoài,numeric__Tổng cộng
,,,VND,VND,VND,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,5.875.480.552.333,1.647.403.882.825,7.522.884.435.158,5875480552333.0,1647403882825.0,7522884435158.0
Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,(4.731.491.716.815),(1.501.597.460.261),(6.233.089.177.076),-4731491716815.0,-1501597460261.0,-6233089177076.0
Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,1.143.988.835.518,145.806.422.564,1.289.795.258.082,1143988835518.0,145806422564.0,1289795258082.0
Chi phí hoạt động chung,Chi phí hoạt động chung,Chi phí hoạt động chung,,,(651.949.219.414),,,-651949219414.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,130.240.695.027,,,130240695027.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,(61.660.315.782),,,-61660315782.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,10.735.344.253,,,10735344253.0
Chi phí khác,Chi phí khác,Chi phí khác,,,(2.333.025.958),,,-2333025958.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,714.828.736.208,,,714828736208.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,(51.252.737.929),,,-51252737929.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,(2.011.554.971),,,-2011554971.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,661.564.443.308,,,661564443308.0
Năm trước,Năm trước,Năm trước,Nội địa,Nước ngoài,Tổng cộng,,,
,,,VND,VND,VND,,,
Doanh thu thuần,Năm trước > Doanh thu thuần,Doanh thu thuần,5.779.872.123.584,1.252.180.392.192,7.032.052.515.776,5779872123584.0,1252180392192.0,7032052515776.0
Giá vốn hàng bán và cung cấp dịch vụ,Năm trước > Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,(4.957.062.253.904),(1.140.487.133.832),(6.097.549.387.736),-4957062253904.0,-1140487133832.0,-6097549387736.0
Lợi nhuận kinh doanh theo bộ phận,Năm trước > Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,822.809.869.680,111.693.258.360,934.503.128.040,822809869680.0,111693258360.0,934503128040.0
Chi phí hoạt động chung,Năm trước > Chi phí hoạt động chung,Chi phí hoạt động chung,,,(547.038.956.303),,,-547038956303.0
Doanh thu hoạt động tài chính,Năm trước > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,128.629.786.142,,,128629786142.0
Chi phí tài chính,Năm trước > Chi phí tài chính,Chi phí tài chính,,,(100.731.194.779),,,-100731194779.0
Thu nhập khác,Năm trước > Thu nhập khác,Thu nhập khác,,,48.480.136.648,,,48480136648.0
Chi phí khác,Năm trước > Chi phí khác,Chi phí khác,,,(3.472.166.901),,,-3472166901.0
Lợi nhuận trước thuế,Năm trước > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,460.370.732.847,,,460370732847.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Năm trước > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,(39.829.588.814),,,-39829588814.0
Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Năm trước > Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,,,5.282.435.028,,,5282435028.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Năm trước > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,425.823.579.061,,,425823579061.0
