row_label_raw,row_label_full,Công ty Cổ phần BATECO Việt Nam > Tập đoàn Dầu khí Việt Nam,Số cuối nămVND > 2.853.160.182 > -,Số đầu nămVND > 1.711.520.318 > 30.597.955.738,numeric__Số cuối nămVND > 2.853.160.182 > -,numeric__Số đầu nămVND > 1.711.520.318 > 30.597.955.738
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,12.357.464.050,22.915.323.911,12357464050.0,22915323911.0
,,,15.210.624.232,55.224.799.967,15210624232.0,55224799967.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Trả trước cho người bán là các bên liên quan(Chỉ tiết tại Thuyết minh số 35),Trong đó: > Trả trước cho người bán là các bên liên quan(Chỉ tiết tại Thuyết minh số 35),Trả trước cho người bán là các bên liên quan(Chỉ tiết tại Thuyết minh số 35),384.346.575,32.407.080.788,384346575.0,32407080788.0
