row_label_raw,row_label_full,Bên liên quan > Phải trả ngắn hạn khác (Thuyết minh số 13),Mối quan hệ > Phải trả ngắn hạn khác (Thuyết minh số 13),Nội dung nghiệp vụ > Phải trả ngắn hạn khác (Thuyết minh số 13),Số cuối năm > Phải trả ngắn hạn khác (Thuyết minh số 13),Ngàn VND > Số đầu năm > Phải trả ngắn hạn khác (Thuyết minh số 13),numeric__Mối quan hệ > Phải trả ngắn hạn khác (Thuyết minh số 13),numeric__Nội dung nghiệp vụ > Phải trả ngắn hạn khác (Thuyết minh số 13),numeric__Số cuối năm > Phải trả ngắn hạn khác (Thuyết minh số 13),numeric__Ngàn VND > Số đầu năm > Phải trả ngắn hạn khác (Thuyết minh số 13)
Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty mẹ,Lãi vayThu hộMượn tiền,(168.133.553)(958.610)-,(54.759.771)-(616.639.049),,,,
Công ty TNHH Hoàng Anh An Dong Meas,Công ty Cổ phần Hoàng Anh Gia Lai > Công ty TNHH Hoàng Anh An Dong Meas,Công ty TNHH Hoàng Anh An Dong Meas,Công ty con,Thu hộ,-,(1.319.343),,,,-1319343.0
Công ty TNHH Daun Penh Agrico,Công ty Cổ phần Hoàng Anh Gia Lai > Công ty TNHH Daun Penh Agrico,Công ty TNHH Daun Penh Agrico,Công ty con,Mượn tiền,-,(150.381),,,,-150381.0
Công ty TNHH Hoàng Anh Lumphat,Công ty Cổ phần Hoàng Anh Gia Lai > Công ty TNHH Hoàng Anh Lumphat,Công ty TNHH Hoàng Anh Lumphat,Công ty con,Khác,-,(70.732),,,,-70732.0
,,,,,(169.092.163),(672.939.276),,,-169092163.0,-672939276.0
Phải trả dài hạn khác (Thuyết minh số 13),Phải trả dài hạn khác (Thuyết minh số 13),Phải trả dài hạn khác (Thuyết minh số 13),Phải trả dài hạn khác (Thuyết minh số 13),Phải trả dài hạn khác (Thuyết minh số 13),Phải trả dài hạn khác (Thuyết minh số 13),Phải trả dài hạn khác (Thuyết minh số 13),,,,
Công ty Cổ phần Hoàng Anh Gia Lai,Phải trả dài hạn khác (Thuyết minh số 13) > Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty mẹ,Lãi vay,(83.336.578),-,,,-83336578.0,
Vay dài hạn (Thuyết minh số 15.3),Vay dài hạn (Thuyết minh số 15.3),Vay dài hạn (Thuyết minh số 15.3),Vay dài hạn (Thuyết minh số 15.3),Vay dài hạn (Thuyết minh số 15.3),Vay dài hạn (Thuyết minh số 15.3),Vay dài hạn (Thuyết minh số 15.3),,,,
Công ty Cổ phần Hoàng Anh Gia Lai,Vay dài hạn (Thuyết minh số 15.3) > Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty mẹ,Vay dài hạn,(5.639.736.886),(1.096.449.353),,,-5639736886.0,-1096449353.0
