row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 6),Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 6),Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 6),Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 6),Ngàn VND > Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 6),numeric__Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 6),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 6),numeric__Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 6),numeric__Ngàn VND > Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 6)
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con,Lãi cho vayChi hộ,799.225.556-,260.857.6965.446.141,,,,2608576965446141.0
Công ty TNHH Hoàng Anh Rattanakiri,Công ty TNHH Hoàng Anh Rattanakiri,Công ty TNHH Hoàng Anh Rattanakiri,Công ty con,Lãi cho vayChi hộ,362.314.7887.212.880,280.531.8517.212.880,,,3623147887212880.0,2805318517212880.0
Công ty Cổ phần Cao su Hoàng Anh – Quang Minh,Công ty Cổ phần Cao su Hoàng Anh – Quang Minh,Công ty Cổ phần Cao su Hoàng Anh – Quang Minh,Công ty con,Lãi cho vayCổ tức phải thuChi hộ,319.096.86819.507.5006.391.705,249.609.74319.507.5006.391.705,,,3.19096868195075e+23,2.4960974319507502e+23
Công ty TNHH Hoàng Anh Oyadav,Công ty TNHH Hoàng Anh Oyadav,Công ty TNHH Hoàng Anh Oyadav,Công ty con,Lãi cho vayChi hộ,255.497.2315.406.428,166.450.8085.406.428,,,2554972315406428.0,1664508085406428.0
Công ty Cổ phần Bò sữa Tây Nguyên,Công ty Cổ phần Bò sữa Tây Nguyên,Công ty Cổ phần Bò sữa Tây Nguyên,Công ty con,Cổ tức phải thu,81.675.000,-,,,81675000.0,
Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty con,Lãi cho vay,47.736.855,32.348.831,,,47736855.0,32348831.0
Công ty Cổ Phần Cao su Trung Nguyên,Công ty Cổ Phần Cao su Trung Nguyên,Công ty Cổ Phần Cao su Trung Nguyên,Công ty con,Lãi cho vayKhác,6.356.047-,29.460.203304.838,,,,29460203304838.0
Công ty TNHH Hoàng Anh Lumphat,Công ty TNHH Hoàng Anh Lumphat,Công ty TNHH Hoàng Anh Lumphat,Công ty con,Cần trừ công nợ,2.941.301,,,,2941301.0,
Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty mẹ,Chi hộ,2.065.085,2.065.085,,,2065085.0,2065085.0
Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty con,Lãi cho vayCổ tức phải thuChi hộ,-,185.641.9368.148.90025.000,,,,1.8564193681489002e+20
Công ty TNHH Công nghiệp và Nông nghiệp Cao su Hoàng Anh – Quang Minh,Công ty TNHH Công nghiệp và Nông nghiệp Cao su Hoàng Anh – Quang Minh,Công ty TNHH Công nghiệp và Nông nghiệp Cao su Hoàng Anh – Quang Minh,Công ty con,Chi hộ,-,333.500,,,,333500.0
