row_label_raw,row_label_full,col_0,Số cuối năm,Ngán VND Số đầu năm,numeric__Số cuối năm,numeric__Ngán VND Số đầu năm
"BIDV, Chi nhánh Gia Lai và Chi nhánh Bến Nghé","BIDV, Chi nhánh Gia Lai và Chi nhánh Bến Nghé","BIDV, Chi nhánh Gia Lai và Chi nhánh Bến Nghé",731.055.979,723.036.497,731055979.0,723036497.0
"Sacombank, Chi nhánh Sài Gòn","Sacombank, Chi nhánh Sài Gòn","Sacombank, Chi nhánh Sài Gòn",262.454.605,262.454.605,262454605.0,262454605.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,993.510.584,985.491.102,993510584.0,985491102.0
Trong đó :,Trong đó :,Trong đó :,Trong đó :,Trong đó :,,
Vay dài hạn,Trong đó : > Vay dài hạn,Vay dài hạn,988.331.032,944.919.102,988331032.0,944919102.0
Vay dài hạn đến hạn trả,Trong đó : > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,5.179.552,40.572.000,5179552.0,40572000.0
