row_label_raw,row_label_full,Tên công ty con,Lĩnh vực kinh doanh,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
Tên công ty con,Tên công ty con,Tên công ty con,Lĩnh vực kinh doanh,Tỷ lệ sở hữu %,Giá gốc đầu tư Ngân VND,Dự phòng Ngân VND,Tỷ lệ sở hữu %,Giá gốc đầu tư Ngân VND,Dự phòng Ngân VND,,,,,,,
Công ty Cổ phần Cao su Trung Nguyên (i),Tên công ty con > Công ty Cổ phần Cao su Trung Nguyên (i),Công ty Cổ phần Cao su Trung Nguyên (i),"Trồng cây công nghiệp và nông nghiệp, và chắn nuôi bỏ","99,91",3.277.737.120,,-,-,-,,99.91,3277737120.0,,,,
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Tên công ty con > Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,"Trồng cây công nghiệp và nông nghiệp, chắn nuôi bỏ và xây dựng","100,00",2.101.029.560,,-,"100,00",2.080.734.798,,100.0,2101029560.0,,,100.0,2080734798.0
Công ty TNHH Đầu tư và Phát triển Cao su Đông Dương (ii),Tên công ty con > Công ty TNHH Đầu tư và Phát triển Cao su Đông Dương (ii),Công ty TNHH Đầu tư và Phát triển Cao su Đông Dương (ii),Trồng cây công nghiệp,"100,00",1.650.000.000,,-,-,-,,100.0,1650000000.0,,,,
Công ty Cổ phần Mía đường Hoàng Anh Gia Lai (iii),Tên công ty con > Công ty Cổ phần Mía đường Hoàng Anh Gia Lai (iii),Công ty Cổ phần Mía đường Hoàng Anh Gia Lai (iii),Trồng cây công nghiệp và chắn nuôi bỏ,"99,99",1.375.149.450,,-,"99,99",1.375.149.450,,99.99,1375149450.0,,,99.99,1375149450.0
Công ty TNHH Hoàng Anh Rattanakiri,Tên công ty con > Công ty TNHH Hoàng Anh Rattanakiri,Công ty TNHH Hoàng Anh Rattanakiri,Trồng cây công nghiệp,"100,00",943.513.646,,-,"100,00",909.883.615,,100.0,943513646.0,,,100.0,909883615.0
Công ty Cổ phần Đông Pênh,Tên công ty con > Công ty Cổ phần Đông Pênh,Công ty Cổ phần Đông Pênh,Trồng cây công nghiệp,"99,70",798.397.600,,-,"99,70",798.397.600,,99.7,798397600.0,,,99.7,798397600.0
Công ty Cổ phần An Đông Mia,Tên công ty con > Công ty Cổ phần An Đông Mia,Công ty Cổ phần An Đông Mia,Trồng cây công nghiệp,"69,50",695.695.000,,-,"69,50",695.695.000,,69.5,695695000.0,,,69.5,695695000.0
Công ty Cổ phần Bò sữa Tây Nguyên,Tên công ty con > Công ty Cổ phần Bò sữa Tây Nguyên,Công ty Cổ phần Bò sữa Tây Nguyên,Chấn nuôi,"99,00",615.584.549,(21.242.922),-,"99,00",615.584.549,,99.0,615584549.0,-21242922.0,,99.0,615584549.0
Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Tên công ty con > Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,"Trồng cây công nghiệp và nông nghiệp, và chắn nuôi bỏ","97,77",440.512.398,,-,"97,77",440.512.398,,97.77,440512398.0,,,97.77,440512398.0
Công ty Cổ phần Hoàng Anh Đắk Lắk,Tên công ty con > Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Trồng cây công nghiệp và bất động sản,"99,53",394.313.155,(51.239.691),-,"99,53",394.313.155,,99.53,394313155.0,-51239691.0,,99.53,394313155.0
Công ty TNHH Hoàng Anh Oyadav,Tên công ty con > Công ty TNHH Hoàng Anh Oyadav,Công ty TNHH Hoàng Anh Oyadav,Trồng cây công nghiệp,"100,00",171.654.457,,-,"100,00",171.654.457,,100.0,171654457.0,,,100.0,171654457.0
Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Tên công ty con > Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Thương mại,"100,00",100.000.000,(33.946.829),-,"100,00",100.000.000,,100.0,100000000.0,-33946829.0,,100.0,100000000.0
TỔNG CỘNG,Tên công ty con > TỔNG CỘNG,TỔNG CỘNG,,,12.563.586.935,(106.429.442),,7.581.925.022,,,,12563586935.0,-106429442.0,,7581925022.0,
