row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5),Ngàn VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5),numeric__Ngàn VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 5)
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Bên liên quan,Bán hàng hóa,14.073.555,4.811.498,,,14073555.0,4811498.0
Công ty TNHH MTV Phát triển Nồng nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nồng nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nồng nghiệp Đại Thắng,Bên liên quan,Bán hàng hóa,10.998.540,-,,,10998540.0,
Công ty TNHH Phát triển Nồng nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nồng nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nồng nghiệp Hoàng Anh Attapeu,Công ty con,Bán hàng hóa,9.926.139,943.950,,,9926139.0,943950.0
Công ty TNHH Công nghiệp và Nông nghiệp Cao su Hoàng Anh – Quang Minh,Công ty TNHH Công nghiệp và Nông nghiệp Cao su Hoàng Anh – Quang Minh,Công ty TNHH Công nghiệp và Nông nghiệp Cao su Hoàng Anh – Quang Minh,Công ty con,Bán hàng hóa,3.493.144,8.847.765,,,3493144.0,8847765.0
Công ty Cổ phần Bó sữa Tây Nguyên,Công ty Cổ phần Bó sữa Tây Nguyên,Công ty Cổ phần Bó sữa Tây Nguyên,Công ty con,Bán hàng hóa,3.198.914,605.847,,,3198914.0,605847.0
Công ty Cổ phần Xây dựng Cầu đường Hoàng Anh Gia Lai,Công ty Cổ phần Xây dựng Cầu đường Hoàng Anh Gia Lai,Công ty Cổ phần Xây dựng Cầu đường Hoàng Anh Gia Lai,Bên liên quan,Bán tài sản cố định,1.903.798,3.285.900,,,1903798.0,3285900.0
Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty mẹ,Bán hàng hóa,1.371.575,772.802,,,1371575.0,772802.0
Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty con,Bán hàng hóa,110.080,-,,,110080.0,
Chi nhánh Khách sạn Hoàng Anh Gia Lai Pleiku,Chi nhánh Khách sạn Hoàng Anh Gia Lai Pleiku,Chi nhánh Khách sạn Hoàng Anh Gia Lai Pleiku,Bên liên quan,Bán hàng hóa,1.681,-,,,1681.0,
Công ty Cổ Phần Cao su Trung Nguyên,Công ty Cổ Phần Cao su Trung Nguyên,Công ty Cổ Phần Cao su Trung Nguyên,Công ty con,Cung cấp dịch vụ,-,17.589,,,,17589.0
,,,,,45.077.426,19.285.351,,,45077426.0,19285351.0
Phải thu về cho vay ngắn hạn (*),Phải thu về cho vay ngắn hạn (*),Phải thu về cho vay ngắn hạn (*),Phải thu về cho vay ngắn hạn (*),Phải thu về cho vay ngắn hạn (*),Phải thu về cho vay ngắn hạn (*),Phải thu về cho vay ngắn hạn (*),,,,
Công ty TNHH Hoàng Anh Oyadav,Phải thu về cho vay ngắn hạn (*) > Công ty TNHH Hoàng Anh Oyadav,Công ty TNHH Hoàng Anh Oyadav,Công ty con,Cho vay,242.000.002,129.120.002,,,242000002.0,129120002.0
Công ty Cổ phần Cao su Hoàng Anh – Quang Minh,Phải thu về cho vay ngắn hạn (*) > Công ty Cổ phần Cao su Hoàng Anh – Quang Minh,Công ty Cổ phần Cao su Hoàng Anh – Quang Minh,Công ty con,Cho vay,130.000.000,195.783.281,,,130000000.0,195783281.0
Công ty TNHH Hoàng Anh Rattanakiri,Phải thu về cho vay ngắn hạn (*) > Công ty TNHH Hoàng Anh Rattanakiri,Công ty TNHH Hoàng Anh Rattanakiri,Công ty con,Cho vay,120.872.953,336.073.001,,,120872953.0,336073001.0
Công ty Cổ phần Cao su Trung Nguyên,Phải thu về cho vay ngắn hạn (*) > Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Công ty con,Cho vay,45.000.000,123.358.579,,,45000000.0,123358579.0
Công ty TNHH Phát triển Nồng nghiệp Hoàng Anh Attapeu,Phải thu về cho vay ngắn hạn (*) > Công ty TNHH Phát triển Nồng nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nồng nghiệp Hoàng Anh Attapeu,Công ty con,Cho vay,40.896.000,427.589.992,,,40896000.0,427589992.0
Công ty Cổ phần Hoàng Anh Đắk Lắk,Phải thu về cho vay ngắn hạn (*) > Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty con,Cho vay,33.000.000,128.221.602,,,33000000.0,128221602.0
Công ty Cổ phần Mía đường Hoàng Anh Gia Lai,Phải thu về cho vay ngắn hạn (*) > Công ty Cổ phần Mía đường Hoàng Anh Gia Lai,Công ty Cổ phần Mía đường Hoàng Anh Gia Lai,Công ty con,Cho vay,-,170.611.131,,,,170611131.0
,,,,,511.763.955,1.510.757.588,,,511763955.0,1510757588.0
