row_label_raw,row_label_full,col_0,Năm nay,Ngân VNDNăm trước,numeric__Năm nay,numeric__Ngân VNDNăm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,12.733.911,1.434.776,12733911.0,1434776.0
Chi dịch vụ mua ngoài,Chi dịch vụ mua ngoài,Chi dịch vụ mua ngoài,8.002.378,1.261.489,8002378.0,1261489.0
"Chi phí nguyên vật liệu, bao bl","Chi phí nguyên vật liệu, bao bl","Chi phí nguyên vật liệu, bao bl",2.491.935,-,2491935.0,
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,1.903.118,79.617,1903118.0,79617.0
Khác,Khác,Khác,336.480,93.670,336480.0,93670.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,22.398.389,46.629.496,22398389.0,46629496.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,11.100.863,18.876.460,11100863.0,18876460.0
Khấu hao và hao mòn tài sản cố định,Khấu hao và hao mòn tài sản cố định,Khấu hao và hao mòn tài sản cố định,6.681.229,6.824.722,6681229.0,6824722.0
Khác,Khác,Khác,4.616.297,20.928.314,4616297.0,20928314.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,35.132.300,48.064.272,35132300.0,48064272.0
