row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Lợi nhuận sau thuế chưa phân phối,Ngàn VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Ngàn VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,3.990.670.000,1.295.347.000,27.790.888,5.313.807.888,3990670000.0,1295347000.0,27790888.0,5313807888.0
Phát hành cổ phiếu thu bằng tiền,Năm trước > Phát hành cổ phiếu thu bằng tiền,Phát hành cổ phiếu thu bằng tiền,798.723.950,999.248.810,-,1.797.972.760,798723950.0,999248810.0,,1797972760.0
Phát hành cổ phiếu bằng nguồn thẳng dư vốn cổ phần,Năm trước > Phát hành cổ phiếu bằng nguồn thẳng dư vốn cổ phần,Phát hành cổ phiếu bằng nguồn thẳng dư vốn cổ phần,2.292.045.000,(2.292.045.000),-,-,2292045000.0,-2292045000.0,,
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,1.157.595.523,1.157.595.523,,,1157595523.0,1157595523.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,7.081.438.950,2.550.810,1.185.386.411,8.269.376.171,7081438950.0,2550810.0,1185386411.0,8269376171.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,7.081.438.950,2.550.810,1.185.386.411,8.269.376.171,7081438950.0,2550810.0,1185386411.0,8269376171.0
Phát hành cổ phiếu thu bằng tiền (i),Năm nay > Phát hành cổ phiếu thu bằng tiền (i),Phát hành cổ phiếu thu bằng tiền (i),590.000.000,1.062.000.000,-,1.652.000.000,590000000.0,1062000000.0,,1652000000.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,106.002.834,106.002.834,,,106002834.0,106002834.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,7.671.438.950,1.064.550.810,1.291.389.245,10.027.379.005,7671438950.0,1064550810.0,1291389245.0,10027379005.0
