row_label_raw,row_label_full,Tổ chức thu xếp phát hành,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
"Công ty Cổ phần Chứng khoán Euro Capital (""ECS"")","Công ty Cổ phần Chứng khoán Euro Capital (""ECS"")","Công ty Cổ phần Chứng khoán Euro Capital (""ECS"")",1.700.000.000,1.700.000.000,1700000000.0,1700000000.0
"Công ty Cổ phần Chứng khoán IB (""IB"")","Công ty Cổ phần Chứng khoán IB (""IB"")","Công ty Cổ phần Chứng khoán IB (""IB"")",431.000.000,-,431000000.0,
"Công ty TNHH Chứng khoán Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vương (""VPBS"")","Công ty TNHH Chứng khoán Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vương (""VPBS"")","Công ty TNHH Chứng khoán Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vương (""VPBS"")",-,300.000.000,,300000000.0
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(16.702.813),-,-16702813.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.114.297.187,2.000.000.000,2114297187.0,2000000000.0
Trong đó:,Trong đó:,Trong đó:,,,,
Vay dài hạn trái phiếu đến hạn trả,Trong đó: > Vay dài hạn trái phiếu đến hạn trả,Vay dài hạn trái phiếu đến hạn trả,297.091.268,300.000.000,297091268.0,300000000.0
Vay dài hạn trái phiếu,Trong đó: > Vay dài hạn trái phiếu,Vay dài hạn trái phiếu,1.817.205.919,1.700.000.000,1817205919.0,1700000000.0
