row_label_raw,row_label_full,col_0,Ngân VND,Ngân VND_1,numeric__Ngân VND,numeric__Ngân VND_1
,,,Năm nay,Năm trước,,
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,106.002.834,1.157.409.018,106002834.0,1157409018.0
Các điều chỉnh:,Các điều chỉnh:,Các điều chỉnh:,,,,
Thu nhập cổ tức,Các điều chỉnh: > Thu nhập cổ tức,Thu nhập cổ tức,(304.875.000),(1.190.255.496),-304875000.0,-1190255496.0
Chi phí không được khấu trừ,Các điều chỉnh: > Chi phí không được khấu trừ,Chi phí không được khấu trừ,7.223.061,24.052.198,7223061.0,24052198.0
Chi phí dự phòng và trích trước,Các điều chỉnh: > Chi phí dự phòng và trích trước,Chi phí dự phòng và trích trước,-,(889.600),,-889600.0
Lỗ tính thuế thuần điều chỉnh trước thuế,Các điều chỉnh: > Lỗ tính thuế thuần điều chỉnh trước thuế,Lỗ tính thuế thuần điều chỉnh trước thuế,(191.649.105),(9.683.880),-191649105.0,-9683880.0
Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,-,-,,
Lỗ tính thuế uốc tính trong năm hiện hành,Lỗ năm trước chuyển sang > Lỗ tính thuế uốc tính trong năm hiện hành,Lỗ tính thuế uốc tính trong năm hiện hành,(191.649.105),(9.683.880),-191649105.0,-9683880.0
Chi phí thuế TNDN hiện hành uốc tính trong năm,Chi phí thuế TNDN hiện hành uốc tính trong năm,Chi phí thuế TNDN hiện hành uốc tính trong năm,-,-,,
Thuế TNDN (trả trước) phải trả đầu năm,Chi phí thuế TNDN hiện hành uốc tính trong năm > Thuế TNDN (trả trước) phải trả đầu năm,Thuế TNDN (trả trước) phải trả đầu năm,(285.831),1.058.447,-285831.0,1058447.0
Thuế TNDN trích thừa năm trước,Chi phí thuế TNDN hiện hành uốc tính trong năm > Thuế TNDN trích thừa năm trước,Thuế TNDN trích thừa năm trước,-,(186.505),,-186505.0
Thuế TNDN đã trả trong năm,Chi phí thuế TNDN hiện hành uốc tính trong năm > Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,-,(1.157.773),,-1157773.0
Thuế TNDN trả trước cuối năm,Chi phí thuế TNDN hiện hành uốc tính trong năm > Thuế TNDN trả trước cuối năm,Thuế TNDN trả trước cuối năm,(285.831),(285.831),-285831.0,-285831.0
