row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận chuyển,Thiết bị văn phòng,Ngân VND Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận chuyển,numeric__Thiết bị văn phòng,numeric__Ngân VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,-,17.621.446,7.134.116,281.274,25.036.836,,17621446.0,7134116.0,281274.0,25036836.0
Mua mới,Nguyên giá > Mua mới,Mua mới,5.756.830,-,548.409,133.883,6.439.122,5756830.0,,548409.0,133883.0,6439122.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(615.055),(2.604.340),-,(3.219.395),,-615055.0,-2604340.0,,-3219395.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,5.756.830,17.006.391,5.078.185,415.157,28.256.563,5756830.0,17006391.0,5078185.0,415157.0,28256563.0
Trong đó:Đã khấu hao hết,Nguyên giá > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,-,1.602.759,511.302,281.274,2.395.335,,1602759.0,511302.0,281274.0,2395335.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,
Số đầu năm,Khấu hao lũy kế > Số đầu năm,Số đầu năm,-,12.436.478,2.847.449,276.951,15.560.878,,12436478.0,2847449.0,276951.0,15560878.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,189.524,2.640.384,629.216,7.236,3.466.360,189524.0,2640384.0,629216.0,7236.0,3466360.0
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,-,(138.387),(880.201),-,(1.018.588),,-138387.0,-880201.0,,-1018588.0
Số cuối năm,Khấu hao lũy kế > Số cuối năm,Số cuối năm,189.524,14.938.475,2.596.464,284.187,18.008.650,189524.0,14938475.0,2596464.0,284187.0,18008650.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,-,5.184.968,4.286.667,4.323,9.475.958,,5184968.0,4286667.0,4323.0,9475958.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,5.567.306,2.067.916,2.481.721,130.970,10.247.913,5567306.0,2067916.0,2481721.0,130970.0,10247913.0
