row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
Phải trả người bán là bên thứ ba,Phải trả người bán là bên thứ ba,Phải trả người bán là bên thứ ba,181.538.275.253,181.538.275.253,118.341.733.066,118.341.733.066,181538275253.0,181538275253.0,118341733066.0,118341733066.0
Phải trả hoạt động kinh doanh BĐS,Phải trả hoạt động kinh doanh BĐS,Phải trả hoạt động kinh doanh BĐS,58.010.902.266,58.010.902.266,75.965.567.895,75.965.567.895,58010902266.0,58010902266.0,75965567895.0,75965567895.0
Phải trả hoạt động xây lắp,Phải trả hoạt động xây lắp,Phải trả hoạt động xây lắp,111.734.575.526,111.734.575.526,33.862.408.994,33.862.408.994,111734575526.0,111734575526.0,33862408994.0,33862408994.0
Công ty cổ phần Đầu tư công nghiệp Việt Hưng,Công ty cổ phần Đầu tư công nghiệp Việt Hưng,Công ty cổ phần Đầu tư công nghiệp Việt Hưng,49.953.877.008,49.953.877.008,-,-,49953877008.0,49953877008.0,,
Công ty TNHH Xây dựng và Thương mại Hồng Hàn,Công ty TNHH Xây dựng và Thương mại Hồng Hàn,Công ty TNHH Xây dựng và Thương mại Hồng Hàn,22.545.144.536,22.545.144.536,-,-,22545144536.0,22545144536.0,,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,39.235.553.982,39.235.553.982,33.862.408.994,33.862.408.994,39235553982.0,39235553982.0,33862408994.0,33862408994.0
Phải trả hoạt động khác,Phải trả hoạt động khác,Phải trả hoạt động khác,11.792.797.461,11.792.797.461,8.513.756.177,8.513.756.177,11792797461.0,11792797461.0,8513756177.0,8513756177.0
Phải trả người bán là bên liên quan,Phải trả người bán là bên liên quan,Phải trả người bán là bên liên quan,3.526.772.592,3.526.772.592,4.665.650.719,4.665.650.719,3526772592.0,3526772592.0,4665650719.0,4665650719.0
Phải trả hoạt động kinh doanh BĐS,Phải trả hoạt động kinh doanh BĐS,Phải trả hoạt động kinh doanh BĐS,-,-,138.217.622,138.217.622,,,138217622.0,138217622.0
Phải trả hoạt động khác,Phải trả hoạt động khác,Phải trả hoạt động khác,3.526.772.592,3.526.772.592,4.527.433.097,4.527.433.097,3526772592.0,3526772592.0,4527433097.0,4527433097.0
(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),,,,
Cộng,(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2) > Cộng,Cộng,185.065.047.845,185.065.047.845,123.007.383.785,123.007.383.785,185065047845.0,185065047845.0,123007383785.0,123007383785.0
