row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải truyền dẫn,"Thiết bị,dụng cụ quản lý",TSCĐhữu hình khác,Cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải truyền dẫn,"numeric__Thiết bị,dụng cụ quản lý",numeric__TSCĐhữu hình khác,numeric__Cộng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,1.856.368.150,13.212.489.992,7.870.209.300,613.203.200,180.912.393.654,204.464.664.296,1856368150.0,13212489992.0,7870209300.0,613203200.0,180912393654.0,204464664296.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,-,-,2.362.880.000,3.178.720.976,1.643.242.090,7.184.843.066,,,2362880000.0,3178720976.0,1643242090.0,7184843066.0
Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,-,-,-,-,-,,,,,,
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,-,,,,,,
"Thanh lý, nhượng bán","Tăng khác > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(1.027.636.364),-,-,(1.027.636.364),,,-1027636364.0,,,-1027636364.0
Hủy bỏ,Hủy bỏ,Hủy bỏ,-,-,-,-,-,-,,,,,,
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,-,,,,,,
Số cuối năm,Giảm khác > Số cuối năm,Số cuối năm,1.856.368.150,13.212.489.992,9.205.452.936,3.791.924.176,182.555.635.744,210.621.870.998,1856368150.0,13212489992.0,9205452936.0,3791924176.0,182555635744.0,210621870998.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm,Số đầu năm,1.856.368.150,2.847.357.931,5.833.728.300,613.203.200,33.688.063.323,44.838.720.904,1856368150.0,2847357931.0,5833728300.0,613203200.0,33688063323.0,44838720904.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,-,612.717.168,492.767.150,554.690.590,27.219.920.878,28.880.095.786,,612717168.0,492767150.0,554690590.0,27219920878.0,28880095786.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,-,,,,,,
"Thanh lý, nhượng bán","Tăng khác > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(967.636.364),-,-,(967.636.364),,,-967636364.0,,,-967636364.0
Hủy bỏ,Hủy bỏ,Hủy bỏ,-,-,-,-,-,-,,,,,,
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,-,,,,,,
Số cuối năm,Giảm khác > Số cuối năm,Số cuối năm,1.856.368.150,3.460.075.099,5.358.859.086,1.167.893.790,60.907.984.201,72.751.180.326,1856368150.0,3460075099.0,5358859086.0,1167893790.0,60907984201.0,72751180326.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Số đầu năm,GIÁ TRỊ CÒN LẠI > Số đầu năm,Số đầu năm,-,10.365.132.061,2.036.481.000,-,147.224.330.331,159.625.943.392,,10365132061.0,2036481000.0,,147224330331.0,159625943392.0
Số cuối năm,GIÁ TRỊ CÒN LẠI > Số cuối năm,Số cuối năm,-,9.752.414.893,3.846.593.850,2.624.030.386,121.647.651.543,137.870.690.672,,9752414893.0,3846593850.0,2624030386.0,121647651543.0,137870690672.0
