row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số cuối năm > Dự phòng,Số đầu năm > Giá gốc,Số đầu năm > Giá trị hợp lý,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị hợp lý,numeric__Số đầu năm > Dự phòng
I. Đầu tư vào Công ty con,I. Đầu tư vào Công ty con,I. Đầu tư vào Công ty con,17.825.033.064.593,(*),(279.793.000.000),18.382.345.417.793,(*),(280.656.481.694),17825033064593.0,,-279793000000.0,18382345417793.0,,-280656481694.0
Công ty TNHH Ana Services (i),Công ty TNHH Ana Services (i),Công ty TNHH Ana Services (i),-,,-,15.000.000.000,,(863.481.694),,,,15000000000.0,,-863481694.0
Công ty cổ phần VETC,Công ty cổ phần VETC,Công ty cổ phần VETC,741.900.000.000,,(247.300.000.000),741.900.000.000,,(247.300.000.000),741900000000.0,,-247300000000.0,741900000000.0,,-247300000000.0
Công ty TNHH thu phí tự động VETC,Công ty TNHH thu phí tự động VETC,Công ty TNHH thu phí tự động VETC,32.493.000.000,,(32.493.000.000),32.493.000.000,,(32.493.000.000),32493000000.0,,-32493000000.0,32493000000.0,,-32493000000.0
Công ty TNHH MTV Tasco BOT,Công ty TNHH MTV Tasco BOT,Công ty TNHH MTV Tasco BOT,1.157.760.000.000,,-,1.157.760.000.000,,-,1157760000000.0,,,1157760000000.0,,
Công ty TNHH Tasco Land,Công ty TNHH Tasco Land,Công ty TNHH Tasco Land,750.000.000.000,,-,750.000.000.000,,-,750000000000.0,,,750000000000.0,,
Công ty TNHH Bảo hiểm Tasco,Công ty TNHH Bảo hiểm Tasco,Công ty TNHH Bảo hiểm Tasco,402.164.417.793,,-,402.164.417.793,,-,402164417793.0,,,402164417793.0,,
Công ty cổ phần Tasco Auto (ii),Công ty cổ phần Tasco Auto (ii),Công ty cổ phần Tasco Auto (ii),14.740.715.646.800,,-,15.283.028.000.000,,-,14740715646800.0,,,15283028000000.0,,
(Tên cũ: Công ty TNHH Tasco Auto),(Tên cũ: Công ty TNHH Tasco Auto),(Tên cũ: Công ty TNHH Tasco Auto),(Tên cũ: Công ty TNHH Tasco Auto),(Tên cũ: Công ty TNHH Tasco Auto),(Tên cũ: Công ty TNHH Tasco Auto),(Tên cũ: Công ty TNHH Tasco Auto),(Tên cũ: Công ty TNHH Tasco Auto),(Tên cũ: Công ty TNHH Tasco Auto),,,,,,
II. Đầu tư góp vốn vào đơn vị khác,(Tên cũ: Công ty TNHH Tasco Auto) > II. Đầu tư góp vốn vào đơn vị khác,II. Đầu tư góp vốn vào đơn vị khác,23.800.000.000,(*),-,23.800.000.000,(*),-,23800000000.0,,,23800000000.0,,
Công ty cổ phần Cotabig,(Tên cũ: Công ty TNHH Tasco Auto) > Công ty cổ phần Cotabig,Công ty cổ phần Cotabig,300.000.000,,-,300.000.000,,-,300000000.0,,,300000000.0,,
Công ty cổ phần Bất động sản Quảng Phú,(Tên cũ: Công ty TNHH Tasco Auto) > Công ty cổ phần Bất động sản Quảng Phú,Công ty cổ phần Bất động sản Quảng Phú,1.000.000.000,,-,1.000.000.000,,-,1000000000.0,,,1000000000.0,,
Công ty cổ phần Đầu tư phát triển nhà và đô thị HUD 8,(Tên cũ: Công ty TNHH Tasco Auto) > Công ty cổ phần Đầu tư phát triển nhà và đô thị HUD 8,Công ty cổ phần Đầu tư phát triển nhà và đô thị HUD 8,4.500.000.000,,-,4.500.000.000,,-,4500000000.0,,,4500000000.0,,
Công ty TNHH Môi trường Tasco Củ Chi,(Tên cũ: Công ty TNHH Tasco Auto) > Công ty TNHH Môi trường Tasco Củ Chi,Công ty TNHH Môi trường Tasco Củ Chi,18.000.000.000,,-,18.000.000.000,,-,18000000000.0,,,18000000000.0,,
Cộng,(Tên cũ: Công ty TNHH Tasco Auto) > Cộng,Cộng,17.848.833.064.593,,(279.793.000.000),18.406.145.417.793,,(280.656.481.694),17848833064593.0,,-279793000000.0,18406145417793.0,,-280656481694.0
