row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,100,,2.584.983.370.613,1.731.890.210.305,,100.0,,2584983370613.0,1731890210305.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,V.1,81.362.865.591,49.642.975.589,,110.0,,81362865591.0,49642975589.0
1.,1.,1.,Tiền,111,,81.362.865.591,49.642.975.589,,111.0,,81362865591.0,49642975589.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,-,-,,120.0,,,
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,2.354.946.570.311,1.675.263.959.151,,130.0,,2354946570311.0,1675263959151.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,V.3,514.916.419.045,373.703.222.645,,131.0,,514916419045.0,373703222645.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,V.4,70.003.720.761,94.417.766.684,,132.0,,70003720761.0,94417766684.0
3.,3.,3.,Phải thu về cho vay ngắn hạn,135,V.5.1,375.359.365.734,221.061.764.806,,135.0,,375359365734.0,221061764806.0
4.,4.,4.,Phải thu ngắn hạn khác,136,V.6.1,1.422.685.743.379,1.014.099.883.624,,136.0,,1422685743379.0,1014099883624.0
5.,5.,5.,Dự phòng phải thu ngắn hạn khó đòi,137,V.7,(28.018.678.608),(28.018.678.608),,137.0,,-28018678608.0,-28018678608.0
IV.,IV.,IV.,Hàng tồn kho,140,V.8,146.469.679.444,6.092.398.912,,140.0,,146469679444.0,6092398912.0
1.,1.,1.,Hàng tồn kho,141,,146.469.679.444,6.092.398.912,,141.0,,146469679444.0,6092398912.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,2.204.255.267,890.876.653,,150.0,,2204255267.0,890876653.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,V.9.1,2.195.529.167,881.545.591,,151.0,,2195529167.0,881545591.0
2.,2.,2.,Thuế và các khoản khác phải thu Nhà nước,153,V.15.2,8.726.100,9.331.062,,153.0,,8726100.0,9331062.0
B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,200,,19.588.125.906.606,19.327.735.461.811,,200.0,,19588125906606.0,19327735461811.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,1.132.297.458.208,200.702.235.688,,210.0,,1132297458208.0,200702235688.0
1.,1.,1.,Phải thu về cho vay dài hạn,215,V.5.2,1.007.000.000.000,-,,215.0,,1007000000000.0,
2.,2.,2.,Phải thu dài hạn khác,216,V.6.2,125.297.458.208,200.702.235.688,,216.0,,125297458208.0,200702235688.0
II.,II.,II.,Tài sản cố định,220,,137.870.690.672,159.625.943.392,,220.0,,137870690672.0,159625943392.0
1.,1.,1.,Tài sản cố định hữu hình,221,V.11,137.870.690.672,159.625.943.392,,221.0,,137870690672.0,159625943392.0
,,,Nguyên giá,222,,210.621.870.998,204.464.664.296,,222.0,,210621870998.0,204464664296.0
,,,Giá trị hao mòn lũy kế,223,,(72.751.180.326),(44.838.720.904),,223.0,,-72751180326.0,-44838720904.0
2.,2.,2.,Tài sản cố định vô hình,227,V.10,-,-,,227.0,,,
,,,Nguyên giá,228,,2.078.123.000,2.078.123.000,,228.0,,2078123000.0,2078123000.0
,,,Giá trị hao mòn lũy kế,229,,(2.078.123.000),(2.078.123.000),,229.0,,-2078123000.0,-2078123000.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,704.576.168.332,827.405.514.757,,240.0,,704576168332.0,827405514757.0
1.,1.,1.,"Chi phí sản xuất, kinh doanh dở dang dài hạn",241,V.12.1,416.704.860.195,539.943.755.608,,241.0,,416704860195.0,539943755608.0
2.,2.,2.,Chi phí xây dựng cơ bản dở dang,242,V.12.2,287.871.308.137,287.461.759.149,,242.0,,287871308137.0,287461759149.0
IV.,IV.,IV.,Đầu tư tài chính dài hạn,250,V.2,17.569.040.064.593,18.125.488.936.099,,250.0,,17569040064593.0,18125488936099.0
1.,1.,1.,Đầu tư vào công ty con,251,,17.825.033.064.593,18.382.345.417.793,,251.0,,17825033064593.0,18382345417793.0
2.,2.,2.,"Đầu tư vào công ty liên doanh, liên kết",252,,-,-,,252.0,,,
3.,3.,3.,Đầu tư góp vốn vào đơn vị khác,253,,23.800.000.000,23.800.000.000,,253.0,,23800000000.0,23800000000.0
4.,4.,4.,Dự phòng đầu tư tài chính dài hạn,254,,(279.793.000.000),(280.656.481.694),,254.0,,-279793000000.0,-280656481694.0
V.,V.,V.,Tài sản dài hạn khác,260,,44.341.524.801,14.512.831.875,,260.0,,44341524801.0,14512831875.0
1.,1.,1.,Chi phí trả trước dài hạn,261,V.9.2,44.341.524.801,14.512.831.875,,261.0,,44341524801.0,14512831875.0
,,,TỔNG CỘNG TÀI SẢN,270,,22.173.109.277.219,21.059.625.672.116,,270.0,,22173109277219.0,21059625672116.0
