row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,8.000.000.000,8.000.000.000,527.468.722.048,527.468.722.048,8.000.000.000,8.000.000.000,8000000000.0,8000000000.0,527468722048.0,527468722048.0,8000000000.0,8000000000.0
Vay ngân hàng (i),Vay ngân hàng (i),Vay ngân hàng (i),8.000.000.000,8.000.000.000,27.468.722.048,27.468.722.048,8.000.000.000,8.000.000.000,8000000000.0,8000000000.0,27468722048.0,27468722048.0,8000000000.0,8000000000.0
Vay tổ chức khác,Vay tổ chức khác,Vay tổ chức khác,-,-,500.000.000.000,500.000.000.000,-,-,,,500000000000.0,500000000000.0,,
Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,32.240.000.000,32.240.000.000,63.920.000.000,32.240.000.000,63.920.000.000,63.920.000.000,32240000000.0,32240000000.0,63920000000.0,32240000000.0,63920000000.0,63920000000.0
Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,32.240.000.000,32.240.000.000,32.240.000.000,32.240.000.000,32.240.000.000,32.240.000.000,32240000000.0,32240000000.0,32240000000.0,32240000000.0,32240000000.0,32240000000.0
Vay bên liên quan,Vay bên liên quan,Vay bên liên quan,-,-,31.680.000.000,-,31.680.000.000,31.680.000.000,,,31680000000.0,,31680000000.0,31680000000.0
Cộng,Cộng,Cộng,40.240.000.000,40.240.000.000,591.388.722.048,559.708.722.048,71.920.000.000,71.920.000.000,40240000000.0,40240000000.0,591388722048.0,559708722048.0,71920000000.0,71920000000.0
Chi tiết các khoản vay ngắn hạn,Chi tiết các khoản vay ngắn hạn,Chi tiết các khoản vay ngắn hạn,Chi tiết các khoản vay ngắn hạn,Chi tiết các khoản vay ngắn hạn,Chi tiết các khoản vay ngắn hạn,Chi tiết các khoản vay ngắn hạn,Chi tiết các khoản vay ngắn hạn,Chi tiết các khoản vay ngắn hạn,,,,,,
"(i): Khoản vay ngắn hạn Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Thăng Long theo hợp đồng vay vốn số 01/2024 – HĐCVHM/NHCT326-TASCO ngày 21/10/2024 với tổng mức dư nợ vay 8.000.000.000 VND trong thời hạn từ 31/10/2024 - 31/10/2025. Mục đích sử dụng tiền vay: Bổ sung vốn lưu động cho Gói thầu DVTP: Thuế dịch vụ thu phí các DA đường cao tốc do VEC quản lý, khai thác. Lãi suất vay ghi trên từng giấy nhận nợ và được điều chỉnh 01 tháng/1 lần và được xác định bằng Lãi suất cơ sở cộng (+) Biên độ ba phầy năm phần trăm một năm (3,5%/năm). Tài sản đảm bảo cho khoản vay là máy móc thiết bị hình thành từ dự án (Giá trị còn lại của các tài sản đảm bảo xem Thuyết minh số V.11).","(i): Khoản vay ngắn hạn Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Thăng Long theo hợp đồng vay vốn số 01/2024 – HĐCVHM/NHCT326-TASCO ngày 21/10/2024 với tổng mức dư nợ vay 8.000.000.000 VND trong thời hạn từ 31/10/2024 - 31/10/2025. Mục đích sử dụng tiền vay: Bổ sung vốn lưu động cho Gói thầu DVTP: Thuế dịch vụ thu phí các DA đường cao tốc do VEC quản lý, khai thác. Lãi suất vay ghi trên từng giấy nhận nợ và được điều chỉnh 01 tháng/1 lần và được xác định bằng Lãi suất cơ sở cộng (+) Biên độ ba phầy năm phần trăm một năm (3,5%/năm). Tài sản đảm bảo cho khoản vay là máy móc thiết bị hình thành từ dự án (Giá trị còn lại của các tài sản đảm bảo xem Thuyết minh số V.11).","(i): Khoản vay ngắn hạn Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Thăng Long theo hợp đồng vay vốn số 01/2024 – HĐCVHM/NHCT326-TASCO ngày 21/10/2024 với tổng mức dư nợ vay 8.000.000.000 VND trong thời hạn từ 31/10/2024 - 31/10/2025. Mục đích sử dụng tiền vay: Bổ sung vốn lưu động cho Gói thầu DVTP: Thuế dịch vụ thu phí các DA đường cao tốc do VEC quản lý, khai thác. Lãi suất vay ghi trên từng giấy nhận nợ và được điều chỉnh 01 tháng/1 lần và được xác định bằng Lãi suất cơ sở cộng (+) Biên độ ba phầy năm phần trăm một năm (3,5%/năm). Tài sản đảm bảo cho khoản vay là máy móc thiết bị hình thành từ dự án (Giá trị còn lại của các tài sản đảm bảo xem Thuyết minh số V.11).","(i): Khoản vay ngắn hạn Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Thăng Long theo hợp đồng vay vốn số 01/2024 – HĐCVHM/NHCT326-TASCO ngày 21/10/2024 với tổng mức dư nợ vay 8.000.000.000 VND trong thời hạn từ 31/10/2024 - 31/10/2025. Mục đích sử dụng tiền vay: Bổ sung vốn lưu động cho Gói thầu DVTP: Thuế dịch vụ thu phí các DA đường cao tốc do VEC quản lý, khai thác. Lãi suất vay ghi trên từng giấy nhận nợ và được điều chỉnh 01 tháng/1 lần và được xác định bằng Lãi suất cơ sở cộng (+) Biên độ ba phầy năm phần trăm một năm (3,5%/năm). Tài sản đảm bảo cho khoản vay là máy móc thiết bị hình thành từ dự án (Giá trị còn lại của các tài sản đảm bảo xem Thuyết minh số V.11).","(i): Khoản vay ngắn hạn Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Thăng Long theo hợp đồng vay vốn số 01/2024 – HĐCVHM/NHCT326-TASCO ngày 21/10/2024 với tổng mức dư nợ vay 8.000.000.000 VND trong thời hạn từ 31/10/2024 - 31/10/2025. Mục đích sử dụng tiền vay: Bổ sung vốn lưu động cho Gói thầu DVTP: Thuế dịch vụ thu phí các DA đường cao tốc do VEC quản lý, khai thác. Lãi suất vay ghi trên từng giấy nhận nợ và được điều chỉnh 01 tháng/1 lần và được xác định bằng Lãi suất cơ sở cộng (+) Biên độ ba phầy năm phần trăm một năm (3,5%/năm). Tài sản đảm bảo cho khoản vay là máy móc thiết bị hình thành từ dự án (Giá trị còn lại của các tài sản đảm bảo xem Thuyết minh số V.11).","(i): Khoản vay ngắn hạn Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Thăng Long theo hợp đồng vay vốn số 01/2024 – HĐCVHM/NHCT326-TASCO ngày 21/10/2024 với tổng mức dư nợ vay 8.000.000.000 VND trong thời hạn từ 31/10/2024 - 31/10/2025. Mục đích sử dụng tiền vay: Bổ sung vốn lưu động cho Gói thầu DVTP: Thuế dịch vụ thu phí các DA đường cao tốc do VEC quản lý, khai thác. Lãi suất vay ghi trên từng giấy nhận nợ và được điều chỉnh 01 tháng/1 lần và được xác định bằng Lãi suất cơ sở cộng (+) Biên độ ba phầy năm phần trăm một năm (3,5%/năm). Tài sản đảm bảo cho khoản vay là máy móc thiết bị hình thành từ dự án (Giá trị còn lại của các tài sản đảm bảo xem Thuyết minh số V.11).","(i): Khoản vay ngắn hạn Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Thăng Long theo hợp đồng vay vốn số 01/2024 – HĐCVHM/NHCT326-TASCO ngày 21/10/2024 với tổng mức dư nợ vay 8.000.000.000 VND trong thời hạn từ 31/10/2024 - 31/10/2025. Mục đích sử dụng tiền vay: Bổ sung vốn lưu động cho Gói thầu DVTP: Thuế dịch vụ thu phí các DA đường cao tốc do VEC quản lý, khai thác. Lãi suất vay ghi trên từng giấy nhận nợ và được điều chỉnh 01 tháng/1 lần và được xác định bằng Lãi suất cơ sở cộng (+) Biên độ ba phầy năm phần trăm một năm (3,5%/năm). Tài sản đảm bảo cho khoản vay là máy móc thiết bị hình thành từ dự án (Giá trị còn lại của các tài sản đảm bảo xem Thuyết minh số V.11).","(i): Khoản vay ngắn hạn Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Thăng Long theo hợp đồng vay vốn số 01/2024 – HĐCVHM/NHCT326-TASCO ngày 21/10/2024 với tổng mức dư nợ vay 8.000.000.000 VND trong thời hạn từ 31/10/2024 - 31/10/2025. Mục đích sử dụng tiền vay: Bổ sung vốn lưu động cho Gói thầu DVTP: Thuế dịch vụ thu phí các DA đường cao tốc do VEC quản lý, khai thác. Lãi suất vay ghi trên từng giấy nhận nợ và được điều chỉnh 01 tháng/1 lần và được xác định bằng Lãi suất cơ sở cộng (+) Biên độ ba phầy năm phần trăm một năm (3,5%/năm). Tài sản đảm bảo cho khoản vay là máy móc thiết bị hình thành từ dự án (Giá trị còn lại của các tài sản đảm bảo xem Thuyết minh số V.11).","(i): Khoản vay ngắn hạn Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Thăng Long theo hợp đồng vay vốn số 01/2024 – HĐCVHM/NHCT326-TASCO ngày 21/10/2024 với tổng mức dư nợ vay 8.000.000.000 VND trong thời hạn từ 31/10/2024 - 31/10/2025. Mục đích sử dụng tiền vay: Bổ sung vốn lưu động cho Gói thầu DVTP: Thuế dịch vụ thu phí các DA đường cao tốc do VEC quản lý, khai thác. Lãi suất vay ghi trên từng giấy nhận nợ và được điều chỉnh 01 tháng/1 lần và được xác định bằng Lãi suất cơ sở cộng (+) Biên độ ba phầy năm phần trăm một năm (3,5%/năm). Tài sản đảm bảo cho khoản vay là máy móc thiết bị hình thành từ dự án (Giá trị còn lại của các tài sản đảm bảo xem Thuyết minh số V.11).",,,,,,
18.2 Vay và nợ thuê tài chính dài hạn,18.2 Vay và nợ thuê tài chính dài hạn,18.2 Vay và nợ thuê tài chính dài hạn,18.2 Vay và nợ thuê tài chính dài hạn,18.2 Vay và nợ thuê tài chính dài hạn,18.2 Vay và nợ thuê tài chính dài hạn,18.2 Vay và nợ thuê tài chính dài hạn,18.2 Vay và nợ thuê tài chính dài hạn,18.2 Vay và nợ thuê tài chính dài hạn,,,,,,
