row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
I.,I.,I.,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,,103.197.914.251,50.718.559.590,,1.0,,103197914251.0,50718559590.0
2.,2.,2.,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,,,,,
-,2. > -,-,Khấu hao tài sản cố định và bất động sản đầu tư,02,,28.545.331.786,26.636.569.404,,2.0,,28545331786.0,26636569404.0
-,2. > -,-,Các khoản dự phòng,03,,(863.481.694),(8.134.749.605),,3.0,,-863481694.0,-8134749605.0
-,2. > -,-,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,-,(81.246.863),,4.0,,,-81246863.0
-,2. > -,-,"Lãi, lỗ từ hoạt động đầu tư",05,,(267.468.758.322),(152.983.769.914),,5.0,,-267468758322.0,-152983769914.0
-,2. > -,-,Chi phí lãi vay,06,,27.766.887.898,4.708.283.138,,6.0,,27766887898.0,4708283138.0
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,(108.822.106.081),(79.136.354.250),,8.0,,-108822106081.0,-79136354250.0
-,2. > -,-,"Tăng, giảm các khoản phải thu",09,,(147.555.338.291),108.354.463.693,,9.0,,-147555338291.0,108354463693.0
-,2. > -,-,"Tăng, giảm hàng tồn kho",10,,(17.401.341.823),93.731.787.704,,10.0,,-17401341823.0,93731787704.0
-,2. > -,-,"Tăng, giảm các khoản phải trả",11,,476.500.234.416,65.990.126.987,,11.0,,476500234416.0,65990126987.0
-,2. > -,-,"Tăng, giảm chi phí trả trước",12,,10.492.474.993,11.453.440.566,,12.0,,10492474993.0,11453440566.0
-,2. > -,-,"Tăng, giảm chứng khoán kinh doanh",13,,-,309.320.000.000,,13.0,,,309320000000.0
-,2. > -,-,Tiền lãi vay đã trả,14,,(24.621.741.016),(4.882.264.908),,14.0,,-24621741016.0,-4882264908.0
-,2. > -,-,Thuế thu nhập doanh nghiệp đã nộp,15,,(41.073.296.577),(98.249.040.356),,15.0,,-41073296577.0,-98249040356.0
-,2. > -,-,Tiền chi khác cho hoạt động kinh doanh,17,,(153.000.000),(88.000.000),,17.0,,-153000000.0,-88000000.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,147.365.885.621,406.494.159.436,,20.0,,147365885621.0,406494159436.0
II.,II.,II.,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1.,II. > 1.,1.,"Tiền chi để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",21,,(41.621.532.664),(26.916.680.287),,21.0,,-41621532664.0,-26916680287.0
2.,II. > 2.,2.,"Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác",22,,332.727.273,-,,22.0,,332727273.0,
3.,II. > 3.,3.,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,(3.522.627.600.928),(1.048.521.653.765),,23.0,,-3522627600928.0,-1048521653765.0
4.,II. > 4.,4.,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,2.110.350.320.901,1.038.917.825.519,,24.0,,2110350320901.0,1038917825519.0
5.,II. > 5.,5.,Tiền chi đầu tư góp vốn vào đơn vị khác,25,,-,(412.561.683.840),,25.0,,,-412561683840.0
6.,II. > 6.,6.,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,648.908.656.000,1.000.000.000,,26.0,,648908656000.0,1000000000.0
7.,II. > 7.,7.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,113.752.287.799,67.122.107.414,,27.0,,113752287799.0,67122107414.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,(690.905.141.619),(380.960.084.959),,30.0,,-690905141619.0,-380960084959.0
