row_label_raw,row_label_full,col_0,Dự phòngcụ thểTriệu đồng,Dự phòngchungTriệu đồng,Tổng cộngTriệu đồng,numeric__Dự phòngcụ thểTriệu đồng,numeric__Dự phòngchungTriệu đồng,numeric__Tổng cộngTriệu đồng
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,546.821,804.749,1.351.570,546821.0,804749.0,1351570.0
Số trích lập dự phòng trong kỳ,Số trích lập dự phòng trong kỳ,Số trích lập dự phòng trong kỳ,548.339,140.909,689.248,548339.0,140909.0,689248.0
Số dự phòng đã sử dụng để xử lý rủi ro từ tháng 1 đến tháng 11,Số dự phòng đã sử dụng để xử lý rủi ro từ tháng 1 đến tháng 11,Số dự phòng đã sử dụng để xử lý rủi ro từ tháng 1 đến tháng 11,(43.467),-,(43.467),-43467.0,,-43467.0
Số dự phòng đã sử dụng để xử lý nợ bán cho VAMC từ tháng 1 đến tháng 11,Số dự phòng đã sử dụng để xử lý nợ bán cho VAMC từ tháng 1 đến tháng 11,Số dự phòng đã sử dụng để xử lý nợ bán cho VAMC từ tháng 1 đến tháng 11,(514.760),-,(514.760),-514760.0,,-514760.0
Điều chỉnh dự phòng của công ty con Chênh lệch tỷ giá hối đoái,Điều chỉnh dự phòng của công ty con Chênh lệch tỷ giá hối đoái,Điều chỉnh dự phòng của công ty con Chênh lệch tỷ giá hối đoái,15.015,(332),14.683,15015.0,-332.0,14683.0
Điều chỉnh dự phòng của công ty con Chênh lệch tỷ giá hối đoái,Điều chỉnh dự phòng của công ty con Chênh lệch tỷ giá hối đoái,Điều chỉnh dự phòng của công ty con Chênh lệch tỷ giá hối đoái,(46),143,97,-46.0,143.0,97.0
Số dư dự phòng rủi ro tại ngày 30 tháng 11 năm 2014,Số dư dự phòng rủi ro tại ngày 30 tháng 11 năm 2014,Số dư dự phòng rủi ro tại ngày 30 tháng 11 năm 2014,551.902,945.469,1.497.371,551902.0,945469.0,1497371.0
Số (hoàn nhập)/trích lập dự phòng trong tháng 12,Số (hoàn nhập)/trích lập dự phòng trong tháng 12,Số (hoàn nhập)/trích lập dự phòng trong tháng 12,(1.824),1.055,(769),-1824.0,1055.0,-769.0
Số dự phòng đã sử dụng để xử lý rủi ro trong tháng 12,Số dự phòng đã sử dụng để xử lý rủi ro trong tháng 12,Số dự phòng đã sử dụng để xử lý rủi ro trong tháng 12,(7.369),-,(7.369),-7369.0,,-7369.0
Số dự phòng đã sử dụng để xử lý nợ bán cho VAMC trong tháng 12,Số dự phòng đã sử dụng để xử lý nợ bán cho VAMC trong tháng 12,Số dự phòng đã sử dụng để xử lý nợ bán cho VAMC trong tháng 12,(120.410),-,(120.410),-120410.0,,-120410.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,25,70,95,25.0,70.0,95.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,422.324,946.594,1.368.918,422324.0,946594.0,1368918.0
