row_label_raw,row_label_full,Số dư đầu năm > Phân loại lại trong năm,Năm nayTriệu đồng > 62.166 > -,Năm trướcTriệu đồng > - > 75.330,numeric__Năm nayTriệu đồng > 62.166 > -,numeric__Năm trướcTriệu đồng > - > 75.330
Tăng từ sáp nhập Ngân hàng TMCP,Tăng từ sáp nhập Ngân hàng TMCP,Tăng từ sáp nhập Ngân hàng TMCP,,,,
Phương Nam,Tăng từ sáp nhập Ngân hàng TMCP > Phương Nam,Phương Nam,525,-,525.0,
Trích lập quỹ trong năm (Thuyết minh số 22.1),Tăng từ sáp nhập Ngân hàng TMCP > Trích lập quỹ trong năm (Thuyết minh số 22.1),Trích lập quỹ trong năm (Thuyết minh số 22.1),288.043,-,288043.0,
Tăng khác,Tăng từ sáp nhập Ngân hàng TMCP > Tăng khác,Tăng khác,73,-,73.0,
Sử dụng quỹ trong năm,Tăng từ sáp nhập Ngân hàng TMCP > Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,(273.170),(13.164),-273170.0,-13164.0
Số dư cuối năm,Tăng từ sáp nhập Ngân hàng TMCP > Số dư cuối năm,Số dư cuối năm,77.637,62.166,77637.0,62166.0
