row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy móc thiết bịTriệu đồng,Phương tiệnvận chuyểnTriệu đồng,TSCĐ khácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy móc thiết bịTriệu đồng,numeric__Phương tiệnvận chuyểnTriệu đồng,numeric__TSCĐ khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.158.351,1.434.152,400.311,112.751,4.105.565,2158351.0,1434152.0,400311.0,112751.0,4105565.0
Tăng do mua mới trong năm,Nguyên giá > Tăng do mua mới trong năm,Tăng do mua mới trong năm,2.641,105.008,40.519,24.853,173.021,2641.0,105008.0,40519.0,24853.0,173021.0
Kết chuyển từ đầu tư xây dựng cơ bản vàmua sắm tài sản cố định (Thuyết minh số 16.1),Nguyên giá > Kết chuyển từ đầu tư xây dựng cơ bản vàmua sắm tài sản cố định (Thuyết minh số 16.1),Kết chuyển từ đầu tư xây dựng cơ bản vàmua sắm tài sản cố định (Thuyết minh số 16.1),295.978,136.089,27.506,8.586,468.159,295978.0,136089.0,27506.0,8586.0,468159.0
Tăng do nâng cấp,Nguyên giá > Tăng do nâng cấp,Tăng do nâng cấp,-,4.721,-,23,4.744,,4721.0,,23.0,4744.0
Kết chuyển từ tài sản nhận cán trừ nợ,Nguyên giá > Kết chuyển từ tài sản nhận cán trừ nợ,Kết chuyển từ tài sản nhận cán trừ nợ,46.399,-,-,-,46.399,46399.0,,,,46399.0
Tăng từ sáp nhập Ngân hàng TMCP Phương Nam,Nguyên giá > Tăng từ sáp nhập Ngân hàng TMCP Phương Nam,Tăng từ sáp nhập Ngân hàng TMCP Phương Nam,1.558.293,86.548,93.218,13.062,1.751.121,1558293.0,86548.0,93218.0,13062.0,1751121.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(5.682),(3.360),(12.825),(995),(22.862),-5682.0,-3360.0,-12825.0,-995.0,-22862.0
Chuyển sang công cụ dụng cụ,Nguyên giá > Chuyển sang công cụ dụng cụ,Chuyển sang công cụ dụng cụ,-,(118),-,(127),(245),,-118.0,,-127.0,-245.0
Chênh lệch tỷ giá hối đoái,Nguyên giá > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,22.156,679,1.132,3.802,27.769,22156.0,679.0,1132.0,3802.0,27769.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.078.136,1.763.719,549.861,161.955,6.553.671,4078136.0,1763719.0,549861.0,161955.0,6553671.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Số dư đầu năm,Giá trị khấu hao lũy kế > Số dư đầu năm,Số dư đầu năm,223.100,849.621,151.159,50.178,1.274.058,223100.0,849621.0,151159.0,50178.0,1274058.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,86.077,164.531,38.372,11.904,300.884,86077.0,164531.0,38372.0,11904.0,300884.0
Trích từ Quỹ Phát triển Khoa học và Công nghệ,Giá trị khấu hao lũy kế > Trích từ Quỹ Phát triển Khoa học và Công nghệ,Trích từ Quỹ Phát triển Khoa học và Công nghệ,-,3.892,-,-,3.892,,3892.0,,,3892.0
Tăng từ sáp nhập Ngân hàng TMCP Phương Nam,Giá trị khấu hao lũy kế > Tăng từ sáp nhập Ngân hàng TMCP Phương Nam,Tăng từ sáp nhập Ngân hàng TMCP Phương Nam,288.627,76.579,68.305,10.783,444.294,288627.0,76579.0,68305.0,10783.0,444294.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.178),(2.260),(4.140),(630),(9.208),-2178.0,-2260.0,-4140.0,-630.0,-9208.0
Chuyển sang công cụ dụng cụ,Giá trị khấu hao lũy kế > Chuyển sang công cụ dụng cụ,Chuyển sang công cụ dụng cụ,-,(119),-,(31),(150),,-119.0,,-31.0,-150.0
Chênh lệch tỷ giá hối đoái,Giá trị khấu hao lũy kế > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,4.415,545,821,3.684,9.465,4415.0,545.0,821.0,3684.0,9465.0
Số dư cuối năm,Giá trị khấu hao lũy kế > Số dư cuối năm,Số dư cuối năm,600.041,1.092.789,254.517,75.888,2.023.235,600041.0,1092789.0,254517.0,75888.0,2023235.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.935.251,584.531,249.152,62.573,2.831.507,1935251.0,584531.0,249152.0,62573.0,2831507.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.478.095,670.930,295.344,86.067,4.530.436,3478095.0,670930.0,295344.0,86067.0,4530436.0
