row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu đồng,Phần mềm máy vi tínhTriệu đồng,Tài sản vô hình khácTriệu đồng,Tổng cộngTriệu đồng,numeric__Quyền sử dụng đấtTriệu đồng,numeric__Phần mềm máy vi tínhTriệu đồng,numeric__Tài sản vô hình khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.313.538,554.416,484,2.868.438,2313538.0,554416.0,484.0,2868438.0
Tăng do mua mới trong năm,Nguyên giá > Tăng do mua mới trong năm,Tăng do mua mới trong năm,-,7.265,-,7.265,,7265.0,,7265.0
Kết chuyển từ đầu tư xây dựng cơ bản và mua sắm tài sản cố định(Thuyết minh số 16.1),Nguyên giá > Kết chuyển từ đầu tư xây dựng cơ bản và mua sắm tài sản cố định(Thuyết minh số 16.1),Kết chuyển từ đầu tư xây dựng cơ bản và mua sắm tài sản cố định(Thuyết minh số 16.1),167.916,121.179,-,289.095,167916.0,121179.0,,289095.0
Tăng do nâng cấp,Nguyên giá > Tăng do nâng cấp,Tăng do nâng cấp,-,115,-,115,,115.0,,115.0
Tăng từ sáp nhập Ngân hàng TMCP Phương Nam,Nguyên giá > Tăng từ sáp nhập Ngân hàng TMCP Phương Nam,Tăng từ sáp nhập Ngân hàng TMCP Phương Nam,319.986,53.409,,373.395,319986.0,53409.0,,373395.0
Kết chuyển từ tài sản nhận cán trừ nợ,Nguyên giá > Kết chuyển từ tài sản nhận cán trừ nợ,Kết chuyển từ tài sản nhận cán trừ nợ,538.401,-,-,538.401,538401.0,,,538401.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(577),(33),-,(610),-577.0,-33.0,,-610.0
Chuyển sang công cụ dụng cụ,Nguyên giá > Chuyển sang công cụ dụng cụ,Chuyển sang công cụ dụng cụ,(18),-,-,(18),-18.0,,,-18.0
Chênh lệch tỷ giá hối đoái,Nguyên giá > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,11.160,1.998,-,13.158,11160.0,1998.0,,13158.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.350.406,738.349,484,4.089.239,3350406.0,738349.0,484.0,4089239.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,93.923,406.962,273,501.158,93923.0,406962.0,273.0,501158.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,23.711,73.731,67,97.509,23711.0,73731.0,67.0,97509.0
Tăng từ sáp nhập Ngân hàng TMCP Phương Nam,Giá trị hao mòn lũy kế > Tăng từ sáp nhập Ngân hàng TMCP Phương Nam,Tăng từ sáp nhập Ngân hàng TMCP Phương Nam,-,51.500,-,51.500,,51500.0,,51500.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(93),(27),-,(120),-93.0,-27.0,,-120.0
Chênh lệch tỷ giá hối đoái,Giá trị hao mòn lũy kế > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,1.979,-,1.979,,1979.0,,1979.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,117.541,534.145,340,652.026,117541.0,534145.0,340.0,652026.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.219.615,147.454,211,2.367.280,2219615.0,147454.0,211.0,2367280.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.232.865,204.204,144,3.437.213,3232865.0,204204.0,144.0,3437213.0
