row_label_raw,row_label_full,col_0,Kinh doanhTriệu đồng,Giữ đến ngàyđáo hạnTriệu đồng,Cho vay vàphải thuTriệu đồng,Sẵn sàngđể bánTriệu đồng,Tài sản và nợkhác hạch toántheo giá trịphản bổTriệu đồng,Tổng cộnggiá trị ghi sốTriệu đồng,Giá trị hợp lýTriệu đồng,numeric__Kinh doanhTriệu đồng,numeric__Giữ đến ngàyđáo hạnTriệu đồng,numeric__Cho vay vàphải thuTriệu đồng,numeric__Sẵn sàngđể bánTriệu đồng,numeric__Tài sản và nợkhác hạch toántheo giá trịphản bổTriệu đồng,numeric__Tổng cộnggiá trị ghi sốTriệu đồng,numeric__Giá trị hợp lýTriệu đồng
"Tiền mặt, vàng bạc và đá quý","Tiền mặt, vàng bạc và đá quý","Tiền mặt, vàng bạc và đá quý",-,-,-,-,6.586.478,6.586.478,6.586.478,,,,,6586478.0,6586478.0,6586478.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,-,-,7.497.267,7.497.267,7.497.267,,,,,7497267.0,7497267.0,7497267.0
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,-,-,2.207.868,2.207.868,(*),,,,,2207868.0,2207868.0,
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,95.334,-,-,-,-,95.334,(*),95334.0,,,,,95334.0,
Cho vay và cho thuê tài chínhkhách hàng,Cho vay và cho thuê tài chínhkhách hàng,Cho vay và cho thuê tài chínhkhách hàng,-,-,183.660.021,-,-,183.660.021,(*),,,183660021.0,,,183660021.0,
Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,-,-,-,24.915.848,-,24.915.848,(*),,,,24915848.0,,24915848.0,
Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,-,14.762.208,-,-,-,14.762.208,(*),,14762208.0,,,,14762208.0,
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,-,594.542,-,594.542,(*),,,,594542.0,,594542.0,
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,-,-,31.668.639,31.668.639,(*),,,,,31668639.0,31668639.0,
,,,95.334,14.762.208,183.660.021,25.510.390,47.960.252,271.988.205,,95334.0,14762208.0,183660021.0,25510390.0,47960252.0,271988205.0,
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,2.954.073,2.954.073,(*),,,,,2954073.0,2954073.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,260.994.745,260.994.745,(*),,,,,260994745.0,260994745.0,
Các công cụ tài chính phải sinh vàcác nợ tài chính khác,Các công cụ tài chính phải sinh vàcác nợ tài chính khác,Các công cụ tài chính phải sinh vàcác nợ tài chính khác,-,-,-,-,22.853,22.853,(*),,,,,22853.0,22853.0,
"Vốn tài trợ, ủy thác đầu tư, cho vaychịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vaychịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vaychịu rủi ro",-,-,-,-,1.793.234,1.793.234,(*),,,,,1793234.0,1793234.0,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,600,600,(*),,,,,600.0,600.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,3.867.035,3.867.035,(*),,,,,3867035.0,3867035.0,
,,,-,-,-,-,269.632.540,269.632.540,,,,,,269632540.0,269632540.0,
