row_label_raw,row_label_full,Số dư đầu năm,Năm nayTriệu đồng > 4.935.128,Năm trướcTriệu đồng > 628.689,numeric__Năm nayTriệu đồng > 4.935.128,numeric__Năm trướcTriệu đồng > 628.689
Tăng từ sáp nhập Ngân hàng TMCP,Tăng từ sáp nhập Ngân hàng TMCP,Tăng từ sáp nhập Ngân hàng TMCP,,,,
Phương Nam,Tăng từ sáp nhập Ngân hàng TMCP > Phương Nam,Phương Nam,1.914.451,-,1914451.0,
Tăng từ bán nợ cho VAMC trong năm,Tăng từ sáp nhập Ngân hàng TMCP > Tăng từ bán nợ cho VAMC trong năm,Tăng từ bán nợ cho VAMC trong năm,7.619.029,4.349.032,7619029.0,4349032.0
Tất toán trong năm,Tăng từ sáp nhập Ngân hàng TMCP > Tất toán trong năm,Tất toán trong năm,(326.129),(42.593),-326129.0,-42593.0
Số dư cuối năm,Tăng từ sáp nhập Ngân hàng TMCP > Số dư cuối năm,Số dư cuối năm,14.142.479,4.935.128,14142479.0,4935128.0
