row_label_raw,row_label_full,col_0,Năm nayTriệu đồng,Năm trướcTriệu đồng,numeric__Năm nayTriệu đồng,numeric__Năm trướcTriệu đồng
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,479.034,192.607,479034.0,192607.0
Thu từ thu hồi nợ đã xử lý rủi ro và trái phiếu VAMC (i),Thu từ thu hồi nợ đã xử lý rủi ro và trái phiếu VAMC (i),Thu từ thu hồi nợ đã xử lý rủi ro và trái phiếu VAMC (i),424.576,6.046,424576.0,6046.0
Thu chênh lệch tiền thuê nhà Hội sở (ii),Thu chênh lệch tiền thuê nhà Hội sở (ii),Thu chênh lệch tiền thuê nhà Hội sở (ii),-,84.245,,84245.0
Thu thanh lý tài sản cố định,Thu thanh lý tài sản cố định,Thu thanh lý tài sản cố định,-,17.451,,17451.0
Kết chuyển thừa tiền tử ATM,Kết chuyển thừa tiền tử ATM,Kết chuyển thừa tiền tử ATM,-,5.458,,5458.0
Cổ tức của cổ phiếu nhận cán trừ,Cổ tức của cổ phiếu nhận cán trừ,Cổ tức của cổ phiếu nhận cán trừ,-,2.372,,2372.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,54.458,77.035,54458.0,77035.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,(20.182),(59.045),-20182.0,-59045.0
Chi thanh lý tài sản cố định,Chi thanh lý tài sản cố định,Chi thanh lý tài sản cố định,(3.464),(20.948),-3464.0,-20948.0
Chi phí khác,Chi phí khác,Chi phí khác,(16.718),(38.097),-16718.0,-38097.0
,,,458.852,133.562,458852.0,133562.0
