row_label_raw,row_label_full,col_0,Quá hạnTriệu đồng,Khôngchịu lãiTriệu đồng,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng cộngTriệu đồng,numeric__Quá hạnTriệu đồng,numeric__Khôngchịu lãiTriệu đồng,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng cộngTriệu đồng
Tài sản có khác - gộp,Tài sản > Tài sản có khác - gộp,Tài sản có khác - gộp,1.089.355,43.230.760,3.611,-,1.776,5.753,-,-,44.331.255,1089355.0,43230760.0,3611.0,,1776.0,5753.0,,,44331255.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,3.370.946,117.033.029,56.048.873,87.164.064,7.103.014,4.223.816,20.777.873,1.066.777,296.788.392,3370946.0,117033029.0,56048873.0,87164064.0,7103014.0,4223816.0,20777873.0,1066777.0,296788392.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,18.099,2.096.592,549.570,197.010,87.610,1.292,3.900,2.954.073,,18099.0,2096592.0,549570.0,197010.0,87610.0,1292.0,3900.0,2954073.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,1.034.322,119.438.959,53.306.333,40.174.182,40.497.882,6.504.406,38.661,260.994.745,,1034322.0,119438959.0,53306333.0,40174182.0,40497882.0,6504406.0,38661.0,260994745.0
Các công cụ tài chính phải sinh vàcác công nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh vàcác công nợ tài chính khác,Các công cụ tài chính phải sinh vàcác công nợ tài chính khác,-,22.853,-,-,-,-,-,-,22.853,,22853.0,,,,,,,22853.0
"Vốn tài trợ, ủy thác đầu tư, cho vay chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay chịu rủi ro",-,-,332.763,1.116.390,341.250,354,2.477,-,1.793.234,,,332763.0,1116390.0,341250.0,354.0,2477.0,,1793234.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,600,-,-,-,-,-,600,,,600.0,,,,,,600.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,4.186.736,-,-,-,-,-,-,4.186.736,,4186736.0,,,,,,,4186736.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,5.262.010,121.868.914,54.972.293,40.712.442,40.585.846,6.508.175,42.561,269.952.241,,5262010.0,121868914.0,54972293.0,40712442.0,40585846.0,6508175.0,42561.0,269952241.0
Mức chênh nhạy cảm với lãi suất nội bằng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bằng,Mức chênh nhạy cảm với lãi suất nội bằng,3.370.946,111.771.019,(65.820.041),32.191.771,(33.609.428),(36.362.030),14.269.698,1.024.216,26.836.151,3370946.0,111771019.0,-65820041.0,32191771.0,-33609428.0,-36362030.0,14269698.0,1024216.0,26836151.0
