row_label_raw,row_label_full,col_0,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,numeric__Số cuối nămTriệu đồng,numeric__Số đầu nămTriệu đồng
Thư tín dụng,Thư tín dụng,Thư tín dụng,6.623.786,8.646.367,6623786.0,8646367.0
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,14.423.048,38.574.959,14423048.0,38574959.0
- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,2.537.450,4.346.830,2537450.0,4346830.0
- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,1.970.586,3.265.376,1970586.0,3265376.0
- Cam kết giao dịch hoán đối,- Cam kết giao dịch hoán đối,- Cam kết giao dịch hoán đối,9.915.012,30.962.753,9915012.0,30962753.0
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,32.404,190.294,32404.0,190294.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,3.912.523,3.290.959,3912523.0,3290959.0
Cam kết khác,Cam kết khác,Cam kết khác,11.271,11.103,11271.0,11103.0
,,,25.003.032,50.713.682,25003032.0,50713682.0
Trừ: Tiền ký quỹ,Trừ: Tiền ký quỹ,Trừ: Tiền ký quỹ,(342.543),(526.579),-342543.0,-526579.0
Nghĩa vụ nợ tiềm ẩn và các cam kết đưa ra,Nghĩa vụ nợ tiềm ẩn và các cam kết đưa ra,Nghĩa vụ nợ tiềm ẩn và các cam kết đưa ra,24.660.489,50.187.103,24660489.0,50187103.0
