row_label_raw,row_label_full,col_0,Miền NamTriệu đồng,Miền BắcTriệu đồng,Miền TrungTriệu đồng,LàoTriệu đồng,CampuchiaTriệu đồng,Tổng bộ phậnđã báo cáoTriệu đồng,Loại trừTriệu đồng,Tổng cộngTriệu đồng,numeric__Miền NamTriệu đồng,numeric__Miền BắcTriệu đồng,numeric__Miền TrungTriệu đồng,numeric__LàoTriệu đồng,numeric__CampuchiaTriệu đồng,numeric__Tổng bộ phậnđã báo cáoTriệu đồng,numeric__Loại trừTriệu đồng,numeric__Tổng cộngTriệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,17.031.485(12.946.299),2.668.632(1.661.167),2.804.845(1.536.767),165.665(70.411),174.577(55.453),22.845.204(16.270.097),(6.952.354)6.952.354,15.892.850(9.317.743),,,,,,,,
Thu nhập lãi thuần,Thu nhập lãi và các khoản thu nhập tương tự > Thu nhập lãi thuần,Thu nhập lãi thuần,4.085.186,1.007.465,1.268.078,95.254,119.124,6.575.107,-,6.575.107,4085186.0,1007465.0,1268078.0,95254.0,119124.0,6575107.0,,6575107.0
Các khoản thu nhập ngoài lãi,Thu nhập lãi và các khoản thu nhập tương tự > Các khoản thu nhập ngoài lãi,Các khoản thu nhập ngoài lãi,1.433.677,141.369,94.961,14.332,29.270,1.713.609,-,1.713.609,1433677.0,141369.0,94961.0,14332.0,29270.0,1713609.0,,1713609.0
TỔNG THU NHẬP HOẠT ĐỘNG,Thu nhập lãi và các khoản thu nhập tương tự > TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,5.518.863,1.148.834,1.363.039,109.586,148.394,8.288.716,-,8.288.716,5518863.0,1148834.0,1363039.0,109586.0,148394.0,8288716.0,,8288716.0
TỔNG CHI PHÍ HOẠT ĐỘNG,Thu nhập lãi và các khoản thu nhập tương tự > TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,(3.959.052),(524.121),(505.889),(67.412),(98.073),(5.154.547),-,(5.154.547),-3959052.0,-524121.0,-505889.0,-67412.0,-98073.0,-5154547.0,,-5154547.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Thu nhập lãi và các khoản thu nhập tương tự > Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,1.559.811(2.241.364),624.713(1.039),857.1505,42.174(3.053),50.321(10.563),3.134.169(2.256.014),-,3.134.169(2.256.014),,,8571505.0,,,,,
Chỉ phí dự phòng rủi ro tín dụng,Thu nhập lãi và các khoản thu nhập tương tự > Chỉ phí dự phòng rủi ro tín dụng,Chỉ phí dự phòng rủi ro tín dụng,1.559.811(2.241.364),624.713(1.039),857.1505,42.174(3.053),50.321(10.563),3.134.169(2.256.014),-,3.134.169(2.256.014),,,8571505.0,,,,,
TỔNG LỢI NHUẬN TRƯỚC THUẾ,Thu nhập lãi và các khoản thu nhập tương tự > TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,(681.553),623.674,857.155,39.121,39.758,878.155,-,878.155,-681553.0,623674.0,857155.0,39121.0,39758.0,878155.0,,878155.0
Tổng chi phí thuế thu nhập doanh nghiệp,Thu nhập lãi và các khoản thu nhập tương tự > Tổng chi phí thuế thu nhập doanh nghiệp,Tổng chi phí thuế thu nhập doanh nghiệp,(211.172),-,-,(9.326),(9.738),(230.236),-,(230.236),-211172.0,,,-9326.0,-9738.0,-230236.0,,-230236.0
LỢI NHUẬN SAU THUẾ,Thu nhập lãi và các khoản thu nhập tương tự > LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,(892.725),623.674,857.155,29.795,30.020,647.919,-,647.919,-892725.0,623674.0,857155.0,29795.0,30020.0,647919.0,,647919.0
