row_label_raw,row_label_full,col_0,EURđược quy đổiTriệu đồng,USDđược quy đổiTriệu đồng,Vàngđược quy đổiTriệu đồng,Các ngoại tệ khácđược quy đổiTriệu đồng,Tổng cộngTriệu đồng,numeric__EURđược quy đổiTriệu đồng,numeric__USDđược quy đổiTriệu đồng,numeric__Vàngđược quy đổiTriệu đồng,numeric__Các ngoại tệ khácđược quy đổiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,
"Tiền mặt, vàng bạc và đá quý","Tài sản > Tiền mặt, vàng bạc và đá quý","Tiền mặt, vàng bạc và đá quý",251.279,1.239.289,251.939,744.868,2.487.375,251279.0,1239289.0,251939.0,744868.0,2487375.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,1.535.484,-,130.947,1.666.431,,1535484.0,,130947.0,1666431.0
Tiền gửi tại và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi tại và cho vay các TCTD khác - gộp,Tiền gửi tại và cho vay các TCTD khác - gộp,29.808,1.604.146,-,207.174,1.841.128,29808.0,1604146.0,,207174.0,1841128.0
Công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Công cụ tài chính phải sinh và các tài sản tài chính khác,Công cụ tài chính phải sinh và các tài sản tài chính khác,842.905,610.253,-,119.023,1.572.181,842905.0,610253.0,,119023.0,1572181.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,-,10.323.161,382.425,1.257.727,11.963.313,,10323161.0,382425.0,1257727.0,11963313.0
Chứng khoán đầu tư,Tài sản > Chứng khoán đầu tư,Chứng khoán đầu tư,-,547,-,-,547,,547.0,,,547.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,20.288,-,312.364,332.652,,20288.0,,312364.0,332652.0
Tài sản có khác - gộp,Tài sản > Tài sản có khác - gộp,Tài sản có khác - gộp,98,356.712,63.860,45.333,466.003,98.0,356712.0,63860.0,45333.0,466003.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,1.124.090,15.689.880,698.224,2.817.436,20.329.630,1124090.0,15689880.0,698224.0,2817436.0,20329630.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,1.356.408,-,69.676,1.426.084,,1356408.0,,69676.0,1426084.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,400.018,13.215.028,5.633,1.073.123,14.693.802,400018.0,13215028.0,5633.0,1073123.0,14693802.0
Công cụ tài chính phải sinh và các nợ tài chính khác,Nợ phải trả và vốn chủ sở hữu > Công cụ tài chính phải sinh và các nợ tài chính khác,Công cụ tài chính phải sinh và các nợ tài chính khác,-,-,-,383.421,383.421,,,,383421.0,383421.0
"Vốn tài trợ, uỷ thác đầu tư, cho vay chịu rủi ro","Nợ phải trả và vốn chủ sở hữu > Vốn tài trợ, uỷ thác đầu tư, cho vay chịu rủi ro","Vốn tài trợ, uỷ thác đầu tư, cho vay chịu rủi ro",-,1.448.108,-,-,1.448.108,,1448108.0,,,1448108.0
Phát hành giấy tờ có giá,Nợ phải trả và vốn chủ sở hữu > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,4,-,-,4,,4.0,,,4.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,8.448,170.062,50,60.208,238.768,8448.0,170062.0,50.0,60208.0,238768.0
Tổng nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,408.466,16.189.610,5.683,1.586.428,18.190.187,408466.0,16189610.0,5683.0,1586428.0,18190187.0
Trạng thái tiền tệ nội bảng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,715.624,(499.730),692.541,1.231.008,2.139.443,715624.0,-499730.0,692541.0,1231008.0,2139443.0
Trạng thái tiền tệ ngoại bảng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,(713.998),1.696.644,(170.710),(245.072),566.864,-713998.0,1696644.0,-170710.0,-245072.0,566864.0
"Trạng thái tiền tệ nội, ngoại bảng","Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",1.626,1.196.914,521.831,985.936,2.706.307,1626.0,1196914.0,521831.0,985936.0,2706307.0
