row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng cộngTriệu đồng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng cộngTriệu đồng
,,,Trên3 thángTriệu đồng,Đến3 thángTriệu đồng,Đến1 thángTriệu đồng,Từ 1 đến3 thángTriệu đồng,Từ 3 đến12 thángTriệu đồng,Từ 1 đến5 nămTriệu đồng,Trên5 nămTriệu đồng,Tổng cộngTriệu đồng,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc và đá quý","Tài sản > Tiền mặt, vàng bạc và đá quý","Tiền mặt, vàng bạc và đá quý",-,-,6.586.478,-,-,-,-,6.586.478,,,6586478.0,,,,,6586478.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,7.497.267,-,-,-,-,7.497.267,,,7497267.0,,,,,7497267.0
Tiền gửi tại và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi tại và cho vay các TCTD khác - gộp,Tiền gửi tại và cho vay các TCTD khác - gộp,552,-,2.207.868,-,-,-,-,2.208.420,552.0,,2207868.0,,,,,2208420.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,-,124.841,-,-,-,124.841,,,,124841.0,,,,124841.0
Cho vay và cho thuê tài chínhkhách hàng - gộp,Tài sản > Cho vay và cho thuê tài chínhkhách hàng - gộp,Cho vay và cho thuê tài chínhkhách hàng - gộp,1.249.057,1.031.682,7.026.977,15.726.417,42.941.104,92.651.785,25.289.791,185.916.813,1249057.0,1031682.0,7026977.0,15726417.0,42941104.0,92651785.0,25289791.0,185916813.0
Hoạt động mua nợ - gộp,Tài sản > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,300,-,-,-,-,-,-,300,300.0,,,,,,,300.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,-,24.696.373,412.284,-,16.148.252,547,41.257.456,,,24696373.0,412284.0,,16148252.0,547.0,41257456.0
"Gộp vốn, đầu tư dài hạn - gộp","Tài sản > Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",-,-,-,-,-,-,897.843,897.843,,,,,,,897843.0,897843.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,7.370,777,21.468,586.390,7.351.714,7.967.719,,,7370.0,777.0,21468.0,586390.0,7351714.0,7967719.0
Tài sản có khác - gộp,Tài sản > Tài sản có khác - gộp,Tài sản có khác - gộp,1.083.962,5.393,3.826.576,910.153,1.761.289,15.134.050,21.609.832,44.331.255,1083962.0,5393.0,3826576.0,910153.0,1761289.0,15134050.0,21609832.0,44331255.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,2.333.871,1.037.075,51.848.909,17.174.472,44.723.861,124.520.477,55.149.727,296.788.392,2333871.0,1037075.0,51848909.0,17174472.0,44723861.0,124520477.0,55149727.0,296788392.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
