row_label_raw,row_label_full,col_0,Trong nướcTriệu đồng,Nước ngoàiTriệu đồng,Tổng cộngTriệu đồng,numeric__Trong nướcTriệu đồng,numeric__Nước ngoàiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản tại ngày 31 tháng 12 năm 2015,Tài sản tại ngày 31 tháng 12 năm 2015,Tài sản tại ngày 31 tháng 12 năm 2015,Tài sản tại ngày 31 tháng 12 năm 2015,Tài sản tại ngày 31 tháng 12 năm 2015,Tài sản tại ngày 31 tháng 12 năm 2015,,,
Tiền gửi tại và cho vay các TCTD khác - gộp,Tài sản tại ngày 31 tháng 12 năm 2015 > Tiền gửi tại và cho vay các TCTD khác - gộp,Tiền gửi tại và cho vay các TCTD khác - gộp,890.854,1.317.566,2.208.420,890854.0,1317566.0,2208420.0
Cho vay và cho thuê tài chínhkhách hàng - gộp,Tài sản tại ngày 31 tháng 12 năm 2015 > Cho vay và cho thuê tài chínhkhách hàng - gộp,Cho vay và cho thuê tài chínhkhách hàng - gộp,182.006.065,3.910.748,185.916.813,182006065.0,3910748.0,185916813.0
Chứng khoán kinh doanh và chứng khoánđầu tư - gộp,Tài sản tại ngày 31 tháng 12 năm 2015 > Chứng khoán kinh doanh và chứng khoánđầu tư - gộp,Chứng khoán kinh doanh và chứng khoánđầu tư - gộp,41.381.750,547,41.382.297,41381750.0,547.0,41382297.0
Hoạt động mua nợ - gộp,Tài sản tại ngày 31 tháng 12 năm 2015 > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,300,-,300,300.0,,300.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản tại ngày 31 tháng 12 năm 2015 > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",897.843,-,897.843,897843.0,,897843.0
Công nợ tại ngày 31 tháng 12 năm 2015,Công nợ tại ngày 31 tháng 12 năm 2015,Công nợ tại ngày 31 tháng 12 năm 2015,Công nợ tại ngày 31 tháng 12 năm 2015,Công nợ tại ngày 31 tháng 12 năm 2015,Công nợ tại ngày 31 tháng 12 năm 2015,,,
Tiền gửi và vay các TCTD khác,Công nợ tại ngày 31 tháng 12 năm 2015 > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,1.534.471,1.419.602,2.954.073,1534471.0,1419602.0,2954073.0
Tiền gửi của khách hàng,Công nợ tại ngày 31 tháng 12 năm 2015 > Tiền gửi của khách hàng,Tiền gửi của khách hàng,258.603.486,2.391.259,260.994.745,258603486.0,2391259.0,260994745.0
Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Công nợ tại ngày 31 tháng 12 năm 2015 > Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),3.860.958,1.505.277,5.366.235,3860958.0,1505277.0,5366235.0
"Vốn tài trợ, ủy thác đầu tư, cho vay chịu rủi ro","Công nợ tại ngày 31 tháng 12 năm 2015 > Vốn tài trợ, ủy thác đầu tư, cho vay chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay chịu rủi ro",332.763,1.460.471,1.793.234,332763.0,1460471.0,1793234.0
Phát hành giấy tờ có giá,Công nợ tại ngày 31 tháng 12 năm 2015 > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,600,-,600,600.0,,600.0
Cam kết ngoại bảng tại ngày 31 tháng 12năm 2015,Công nợ tại ngày 31 tháng 12 năm 2015 > Cam kết ngoại bảng tại ngày 31 tháng 12năm 2015,Cam kết ngoại bảng tại ngày 31 tháng 12năm 2015,17.965.852,6.694.637,24.660.489,17965852.0,6694637.0,24660489.0
