row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiện vận tải,truyền dẫn","Thiết bị,dụng cụ quản lý",TSCĐ hữu hìnhkhác,Đơn vi tính: VNDTổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị,dụng cụ quản lý",numeric__TSCĐ hữu hìnhkhác,numeric__Đơn vi tính: VNDTổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư tại 01/01/2021,NGUYÊN GIÁ > Số dư tại 01/01/2021,Số dư tại 01/01/2021,44.228.855.418,130.131.091.139,33.931.450.288,10.215.351.512,7.258.596.161.722,7.477.102.910.079,44228855418.0,130131091139.0,33931450288.0,10215351512.0,7258596161722.0,7477102910079.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,2.598.897.827,-,42.350.000,75.061.139.105,77.702.386.932,,2598897827.0,,42350000.0,75061139105.0,77702386932.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,2.598.897.827,-,42.350.000,-,2.641.247.827,,2598897827.0,,42350000.0,,2641247827.0
Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,-,-,-,-,74.850.109.833,74.850.109.833,,,,,74850109833.0,74850109833.0
Tăng khác,NGUYÊN GIÁ > Tăng khác,Tăng khác,-,-,-,-,211.029.272,211.029.272,,,,,211029272.0,211029272.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,20.181.351.006,5.983.352.739,5.737.246.268,159.736.364,4.504.250.000,36.565.936.377,20181351006.0,5983352739.0,5737246268.0,159736364.0,4504250000.0,36565936377.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,2.136.363.635,3.906.214.450,-,-,6.042.578.085,,2136363635.0,3906214450.0,,,6042578085.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,20.181.351.006,3.846.989.104,1.831.031.818,159.736.364,4.504.250.000,30.523.358.292,20181351006.0,3846989104.0,1831031818.0,159736364.0,4504250000.0,30523358292.0
Số dư tại 31/12/2021,NGUYÊN GIÁ > Số dư tại 31/12/2021,Số dư tại 31/12/2021,24.047.504.412,126.746.636.227,28.194.204.020,10.097.965.148,7.329.153.050.827,7.518.239.360.634,24047504412.0,126746636227.0,28194204020.0,10097965148.0,7329153050827.0,7518239360634.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư tại 01/01/2021,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2021,Số dư tại 01/01/2021,16.875.361.815,37.530.715.915,14.231.851.048,7.425.245.062,1.296.946.454.696,1.373.009.628.536,16875361815.0,37530715915.0,14231851048.0,7425245062.0,1296946454696.0,1373009628536.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,1.845.592.368,8.782.220.391,2.001.465.658,588.030.515,228.880.188.733,242.097.497.665,1845592368.0,8782220391.0,2001465658.0,588030515.0,228880188733.0,242097497665.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,1.845.592.368,8.782.220.391,2.001.465.658,588.030.515,228.880.188.733,242.097.497.665,1845592368.0,8782220391.0,2001465658.0,588030515.0,228880188733.0,242097497665.0
Giảm trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm trong năm,Giảm trong năm,7.576.284.507,5.154.773.987,3.927.047.032,159.736.364,467.628.724,17.285.470.614,7576284507.0,5154773987.0,3927047032.0,159736364.0,467628724.0,17285470614.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,1.666.666.663,2.551.549.166,-,-,4.218.215.829,,1666666663.0,2551549166.0,,,4218215829.0
Giảm khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm khác,Giảm khác,7.576.284.507,3.488.107.324,1.375.497.866,159.736.364,467.628.724,13.067.254.785,7576284507.0,3488107324.0,1375497866.0,159736364.0,467628724.0,13067254785.0
Số dư tại 31/12/2021,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 31/12/2021,Số dư tại 31/12/2021,11.144.669.676,41.158.162.319,12.306.269.674,7.853.539.213,1.525.359.014.705,1.597.821.655.587,11144669676.0,41158162319.0,12306269674.0,7853539213.0,1525359014705.0,1597821655587.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Số dư tại 01/01/2021,GIÁ TRỊ CÒN LẠI > Số dư tại 01/01/2021,Số dư tại 01/01/2021,27.353.493.603,92.600.375.224,19.699.599.240,2.790.106.450,5.961.649.707.026,6.104.093.281.543,27353493603.0,92600375224.0,19699599240.0,2790106450.0,5961649707026.0,6104093281543.0
