row_label_raw,row_label_full,col_0,Xây lắp và hoạt động khác,"Đầu tư, kinh doanh BĐS",Dịch vụ thu phí đường bộ theo hình thức BOT,Dịch vụ thu phí tự động không dùng theo hình thức BOO,Tổng,numeric__Xây lắp và hoạt động khác,"numeric__Đầu tư, kinh doanh BĐS",numeric__Dịch vụ thu phí đường bộ theo hình thức BOT,numeric__Dịch vụ thu phí tự động không dùng theo hình thức BOO,numeric__Tổng
DOANH THU,DOANH THU,DOANH THU,DOANH THU,DOANH THU,DOANH THU,DOANH THU,DOANH THU,,,,,
Tổng doanh thu,DOANH THU > Tổng doanh thu,Tổng doanh thu,147.625.096.446,56.075.879.251,517.215.904.542,152.711.109.545,873.627.989.784,147625096446.0,56075879251.0,517215904542.0,152711109545.0,873627989784.0
Giảm trừ doanh thu,DOANH THU > Giảm trừ doanh thu,Giảm trừ doanh thu,2.644.710.146,588.191.883,-,-,3.232.902.029,2644710146.0,588191883.0,,,3232902029.0
Doanh thu thuần,DOANH THU > Doanh thu thuần,Doanh thu thuần,144.980.386.300,55.487.687.368,517.215.904.542,152.711.109.545,870.395.087.755,144980386300.0,55487687368.0,517215904542.0,152711109545.0,870395087755.0
KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,,,,,
Kết quả bộ phận,KẾT QUẢ HOẠT ĐỘNG > Kết quả bộ phận,Kết quả bộ phận,218.356.564.811,(17.588.651.947),108.493.512.179,(259.080.915.554),50.180.509.489,218356564811.0,-17588651947.0,108493512179.0,-259080915554.0,50180509489.0
Thuế thu nhập doanh nghiệp,KẾT QUẢ HOẠT ĐỘNG > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,-,6.027.496.979,-,6.027.496.979,,,6027496979.0,,6027496979.0
Lợi nhuận trong năm,KẾT QUẢ HOẠT ĐỘNG > Lợi nhuận trong năm,Lợi nhuận trong năm,218.356.564.811,(17.588.651.947),102.466.015.200,(259.080.915.554),44.153.012.510,218356564811.0,-17588651947.0,102466015200.0,-259080915554.0,44153012510.0
