row_label_raw,row_label_full,col_0,31/12/2021 > Giá gốc,31/12/2021 > Giá trịcó thể thu hồi,01/01/2021 > Giá gốc,01/01/2021 > Giá trịcó thể thu hồi,numeric__31/12/2021 > Giá gốc,numeric__31/12/2021 > Giá trịcó thể thu hồi,numeric__01/01/2021 > Giá gốc,numeric__01/01/2021 > Giá trịcó thể thu hồi
"Chi phí sản xuất,kinh doanh đởdang dài hạn","Chi phí sản xuất,kinh doanh đởdang dài hạn","Chi phí sản xuất,kinh doanh đởdang dài hạn","Chi phí sản xuất,kinh doanh đởdang dài hạn","Chi phí sản xuất,kinh doanh đởdang dài hạn","Chi phí sản xuất,kinh doanh đởdang dài hạn","Chi phí sản xuất,kinh doanh đởdang dài hạn",,,,
Dự án Khu đô thị mới,"Chi phí sản xuất,kinh doanh đởdang dài hạn > Dự án Khu đô thị mới",Dự án Khu đô thị mới,260.044.350.117,260.044.350.117,271.387.548.865,271.387.548.865,260044350117.0,260044350117.0,271387548865.0,271387548865.0
Dự án xây dựng nhà ở,"Chi phí sản xuất,kinh doanh đởdang dài hạn > Dự án xây dựng nhà ở",Dự án xây dựng nhà ở,1.020.569.099,1.020.569.099,728.323.702,728.323.702,1020569099.0,1020569099.0,728323702.0,728323702.0
Dự án khu nhà ở sinh thái,"Chi phí sản xuất,kinh doanh đởdang dài hạn > Dự án khu nhà ở sinh thái",Dự án khu nhà ở sinh thái,430.532.998.679,430.532.998.679,342.610.876.580,342.610.876.580,430532998679.0,430532998679.0,342610876580.0,342610876580.0
Tổng,"Chi phí sản xuất,kinh doanh đởdang dài hạn > Tổng",Tổng,691.597.917.895,691.597.917.895,614.726.749.147,614.726.749.147,691597917895.0,691597917895.0,614726749147.0,614726749147.0
,,,,,31/12/2021VND,01/01/2021VND,,,,
Xây dựng cơ bản đở dang,Xây dựng cơ bản đở dang,Xây dựng cơ bản đở dang,Xây dựng cơ bản đở dang,Xây dựng cơ bản đở dang,Xây dựng cơ bản đở dang,Xây dựng cơ bản đở dang,,,,
Dự án đầu tư xây dựng tuyến đường BT,Xây dựng cơ bản đở dang > Dự án đầu tư xây dựng tuyến đường BT,Dự án đầu tư xây dựng tuyến đường BT,,,188.648.230.415,313.997.271.394,,,188648230415.0,313997271394.0
Dự án Khu chức năng đô thị,Xây dựng cơ bản đở dang > Dự án Khu chức năng đô thị,Dự án Khu chức năng đô thị,,,54.410.953.846,54.410.953.846,,,54410953846.0,54410953846.0
Các công trìnhkhác,Xây dựng cơ bản đở dang > Các công trìnhkhác,Các công trìnhkhác,,,125.364.124.213,153.847.834.884,,,125364124213.0,153847834884.0
Tổng,Xây dựng cơ bản đở dang > Tổng,Tổng,,,368.423.308.474,522.256.060.124,,,368423308474.0,522256060124.0
