row_label_raw,row_label_full,col_0,31/12/2021 > Giá gốc,31/12/2021 > Giá trị theo phương pháp vốn chủ sở hữu,01/01/2021 > Giá gốc,01/01/2021 > Giá trị theo phương pháp vốn chủ sở hữu,numeric__31/12/2021 > Giá gốc,numeric__31/12/2021 > Giá trị theo phương pháp vốn chủ sở hữu,numeric__01/01/2021 > Giá gốc,numeric__01/01/2021 > Giá trị theo phương pháp vốn chủ sở hữu
Đầu tư Công ty liên kết,Đầu tư Công ty liên kết,Đầu tư Công ty liên kết,309.567.505.000,330.108.730.165,329.060.703.126,322.944.115.288,309567505000.0,330108730165.0,329060703126.0,322944115288.0
Tổng công ty Thăng Long - CTCP (i),Tổng công ty Thăng Long - CTCP (i),Tổng công ty Thăng Long - CTCP (i),239.567.505.000,251.315.230.489,239.567.505.000,246.299.452.337,239567505000.0,251315230489.0,239567505000.0,246299452337.0
Công ty TNHH BOT Hùng Thắng-Phú Thọ,Công ty TNHH BOT Hùng Thắng-Phú Thọ,Công ty TNHH BOT Hùng Thắng-Phú Thọ,69.000.000.000,77.793.499.676,69.000.000.000,76.644.662.951,69000000000.0,77793499676.0,69000000000.0,76644662951.0
Công ty CP Bất động sản Quảng Phú (ii),Công ty CP Bất động sản Quảng Phú (ii),Công ty CP Bất động sản Quảng Phú (ii),1.000.000.000,1.000.000.000,-,-,1000000000.0,1000000000.0,,
Công ty CP Bất động sản Thái An (iii),Công ty CP Bất động sản Thái An (iii),Công ty CP Bất động sản Thái An (iii),-,-,17.256.748.882,-,,,17256748882.0,
Công ty CP Tasco Thắng Long (iii),Công ty CP Tasco Thắng Long (iii),Công ty CP Tasco Thắng Long (iii),-,-,1.776.452.142,-,,,1776452142.0,
Công ty CP D - Tech (iii),Công ty CP D - Tech (iii),Công ty CP D - Tech (iii),-,-,1.459.997.102,-,,,1459997102.0,
