row_label_raw,row_label_full,col_0,Phần mềm máy tính,Đơn vị tính: VND Tổng,numeric__Phần mềm máy tính,numeric__Đơn vị tính: VND Tổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,
Số dư tại 01/01/2021,NGUYÊN GIÁ > Số dư tại 01/01/2021,Số dư tại 01/01/2021,157.561.710.462,157.561.710.462,157561710462.0,157561710462.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,143.845.631,143.845.631,143845631.0,143845631.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,143.845.631,143.845.631,143845631.0,143845631.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,266.124.200,266.124.200,266124200.0,266124200.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,266.124.200,266.124.200,266124200.0,266124200.0
Số dư tại 31/12/2021,NGUYÊN GIÁ > Số dư tại 31/12/2021,Số dư tại 31/12/2021,157.439.431.893,157.439.431.893,157439431893.0,157439431893.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,
Số dư tại 01/01/2021,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2021,Số dư tại 01/01/2021,23.134.282.319,23.134.282.319,23134282319.0,23134282319.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,10.193.145.907,10.193.145.907,10193145907.0,10193145907.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,10.193.145.907,10.193.145.907,10193145907.0,10193145907.0
Số dư tại 31/12/2021,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 31/12/2021,Số dư tại 31/12/2021,33.327.428.226,33.327.428.226,33327428226.0,33327428226.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,
Số dư tại 01/01/2021,GIÁ TRỊ CÒN LẠI > Số dư tại 01/01/2021,Số dư tại 01/01/2021,134.427.428.143,134.427.428.143,134427428143.0,134427428143.0
Số dư tại 31/12/2021,GIÁ TRỊ CÒN LẠI > Số dư tại 31/12/2021,Số dư tại 31/12/2021,124.112.003.667,124.112.003.667,124112003667.0,124112003667.0
