row_label_raw,row_label_full,Ông Hồ Việt Hà > Ông Phạm Quang Dũng > Ông Nguyễn Huy Tuấn > Ông Nguyễn Viết Tân > Bà Trần Hằng Thu,Chủ tịch (Bổ nhiệm ngày 28/10/2021) > Chủ tịch (Miễn nhiệm ngày 28/10/2021) > Phó chủ tịch (Bổ nhiệm ngày 19/6/2021) > Thành viên (Miễn nhiệm Phó Chủ tịch ngày 19/6/2021) > Thành viên độc lập (Bổ nhiệm ngày 28/10/2021),numeric__Chủ tịch (Bổ nhiệm ngày 28/10/2021) > Chủ tịch (Miễn nhiệm ngày 28/10/2021) > Phó chủ tịch (Bổ nhiệm ngày 19/6/2021) > Thành viên (Miễn nhiệm Phó Chủ tịch ngày 19/6/2021) > Thành viên độc lập (Bổ nhiệm ngày 28/10/2021)
Bà Phạm Thị Chi,Bà Phạm Thị Chi,Bà Phạm Thị Chi,Thành viên,
Bà Trần Hải Yến,Bà Trần Hải Yến,Bà Trần Hải Yến,Thành viên,
Bà Đỗ Thanh Hương,Bà Đỗ Thanh Hương,Bà Đỗ Thanh Hương,Thành viên Hội đồng Quản trị độc lập (Miễn nhiệm ngày 28/10/2021),
Ông Nguyễn Danh Hiếu,Ông Nguyễn Danh Hiếu,Ông Nguyễn Danh Hiếu,Thành viên,
