row_label_raw,row_label_full,col_0,NGUỒN VỐN,MS,TM,31/12/2021VND,01/01/2021VND,numeric__NGUỒN VỐN,numeric__MS,numeric__TM,numeric__31/12/2021VND,numeric__01/01/2021VND
C-,C-,C-,NỘ PHẢI TRẢ(300 = 310+330),300,,7.007.867.084.477,7.197.644.656.393,,300.0,,7007867084477.0,7197644656393.0
I.,I.,I.,Nợ ngắn hạn,310,,1.244.612.485.921,1.194.862.964.771,,310.0,,1244612485921.0,1194862964771.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,5.13,417.292.389.852,490.683.782.764,,311.0,513.0,417292389852.0,490683782764.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,,46.266.343.475,81.427.702.297,,312.0,,46266343475.0,81427702297.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,5.9,27.742.154.241,23.794.441.300,,313.0,59.0,27742154241.0,23794441300.0
4.,4.,4.,Phải trả người lao động,314,,17.008.347.342,21.016.216.850,,314.0,,17008347342.0,21016216850.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,5.14,103.779.457.832,95.037.607.286,,315.0,514.0,103779457832.0,95037607286.0
6.,6.,6.,Phải trả ngắn hạn khác,319,5.15,508.505.337.564,362.737.071.284,,319.0,515.0,508505337564.0,362737071284.0
7.,7.,7.,Vay và nợ thuê tài chính ngắn hạn,320,5.17,101.731.276.519,97.778.930.894,,320.0,517.0,101731276519.0,97778930894.0
8.,8.,8.,Quỹ khen thưởng phúc lợi,322,,22.287.179.096,22.387.212.096,,322.0,,22287179096.0,22387212096.0
II.,II.,II.,Nợ dài hạn,330,,5.763.254.598.556,6.002.781.691.622,,330.0,,5763254598556.0,6002781691622.0
1.,1.,1.,Doanh thu chưa thực hiện dài hạn,336,,967.010.108,1.191.236.986,,336.0,,967010108.0,1191236986.0
2.,2.,2.,Phải trả dài hạn khác,337,5.15,587.089.350.701,551.589.958.880,,337.0,515.0,587089350701.0,551589958880.0
3.,3.,3.,Vay và nợ thuê tài chính dài hạn,338,5.17,5.136.737.492.288,5.411.539.750.297,,338.0,517.0,5136737492288.0,5411539750297.0
4.,4.,4.,Dự phòng phải trả dài hạn,342,5.16,38.460.745.459,38.460.745.459,,342.0,516.0,38460745459.0,38460745459.0
B-,B-,B-,VỐN CHỦ SỞ HỮU(400 = 410+430),400,,3.807.532.444.477,2.960.825.945.179,,400.0,,3807532444477.0,2960825945179.0
I.,I.,I.,Vốn chủ sở hữu,410,5.18,3.807.532.444.477,2.960.825.945.179,,410.0,518.0,3807532444477.0,2960825945179.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,3.486.319.650.000,2.686.319.650.000,,411.0,,3486319650000.0,2686319650000.0
-,-,-,Cổ phiếu phổ thông có quyền biểu quyết,411a,,3.486.319.650.000,2.686.319.650.000,,,,3486319650000.0,2686319650000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,84.541.583.395,84.824.223.592,,412.0,,84541583395.0,84824223592.0
3.,3.,3.,Quỹ đầu tư phát triển,418,,122.247.635.329,122.247.635.329,,418.0,,122247635329.0,122247635329.0
4.,4.,4.,Lợi nhuận sau thuế chưa phân phối,421,,145.551.928.153,80.626.534.571,,421.0,,145551928153.0,80626534571.0
-,-,-,LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,83.968.131.896,315.688.161.156,,,,83968131896.0,315688161156.0
-,-,-,LNST chưa phân phối kỳ này,421b,,61.583.796.257,(235.061.626.585),,,,61583796257.0,-235061626585.0
5.,5.,5.,Lợi ích cổ đông không kiểm soát,429,,(31.128.352.400),(13.192.098.313),,429.0,,-31128352400.0,-13192098313.0
II.,II.,II.,Nguồn kinh phí và quỹ khác,430,,-,-,,430.0,,,
,,,TỔNG CỘNG NGUỒN VỐN(440 = 300+400),440,,10.815.399.528.954,10.158.470.601.572,,440.0,,10815399528954.0,10158470601572.0
