row_label_raw,row_label_full,col_0,01/01/2021,Số phải nộp trong năm,Số đã nộp trong năm,31/12/2021,numeric__01/01/2021,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__31/12/2021
Phải nộp,Phải nộp,Phải nộp,23.794.441.300,143.045.321.307,139.102.608.366,27.742.154.241,23794441300.0,143045321307.0,139102608366.0,27742154241.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,2.861.172.918,80.837.278.207,74.016.334.063,9.687.117.062,2861172918.0,80837278207.0,74016334063.0,9687117062.0
Thuế thu nhập doanh nghiệp (i),Thuế thu nhập doanh nghiệp (i),Thuế thu nhập doanh nghiệp (i),20.373.051.307,54.472.063.175,57.403.868.055,17.441.246.427,20373051307.0,54472063175.0,57403868055.0,17441246427.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,554.932.076,4.714.712.583,4.705.599.197,564.045.462,554932076.0,4714712583.0,4705599197.0,564045462.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,3.910.000,54.256.942,58.166.942,-,3910000.0,54256942.0,58166942.0,
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",-,2.189.470.328,2.189.470.328,-,,2189470328.0,2189470328.0,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,505.420.852,455.675.562,49.745.290,,505420852.0,455675562.0,49745290.0
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",1.374.999,272.119.220,273.494.219,-,1374999.0,272119220.0,273494219.0,
,,,01/01/2021,Số phải thu trong năm,Số đã thu trong năm,31/12/2021,,,,
Phải thu,Phải thu,Phải thu,4.156.221.674,126.801.244,3.071.550.714,1.211.472.204,4156221674.0,126801244.0,3071550714.0,1211472204.0
Thuế giá trị gia tăng nộp thừa,Thuế giá trị gia tăng nộp thừa,Thuế giá trị gia tăng nộp thừa,486.301.100,5.000.000,-,491.301.100,486301100.0,5000000.0,,491301100.0
Thuế thu nhập doanh nghiệp nộp thừa,Thuế thu nhập doanh nghiệp nộp thừa,Thuế thu nhập doanh nghiệp nộp thừa,3.669.663.377,66.988.376,3.024.847.477,711.804.276,3669663377.0,66988376.0,3024847477.0,711804276.0
Thuế thu nhập cá nhân nộp thừa,Thuế thu nhập cá nhân nộp thừa,Thuế thu nhập cá nhân nộp thừa,257.197,54.812.868,46.703.237,8.366.828,257197.0,54812868.0,46703237.0,8366828.0
