row_label_raw,row_label_full,col_0,31/12/2021 > Giá trị,31/12/2021 > Dự phòng,01/01/2021 > Giá trị,01/01/2021 > Dự phòng,numeric__31/12/2021 > Giá trị,numeric__31/12/2021 > Dự phòng,numeric__01/01/2021 > Giá trị,numeric__01/01/2021 > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,897.369.763.284,(5.400.421.625),171.460.470.742,(5.400.421.625),897369763284.0,-5400421625.0,171460470742.0,-5400421625.0
Tạm ứng,Tạm ứng,Tạm ứng,25.259.815.625,(3.286.973.157),24.861.852.944,(3.286.973.157),25259815625.0,-3286973157.0,24861852944.0,-3286973157.0
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",581.700.000,-,41.054.170.000,-,581700000.0,,41054170000.0,
Phải thu khác,Phải thu khác,Phải thu khác,871.528.247.659,(2.113.448.468),105.544.447.798,(2.113.448.468),871528247659.0,-2113448468.0,105544447798.0,-2113448468.0
Phải thu Hợp đồng hợp tác đầu tư,Phải thu Hợp đồng hợp tác đầu tư,Phải thu Hợp đồng hợp tác đầu tư,440.654.000.000,-,-,-,440654000000.0,,,
Các khoản khác,Các khoản khác,Các khoản khác,430.874.247.659,(2.113.448.468),105.544.447.798,(2.113.448.468),430874247659.0,-2113448468.0,105544447798.0,-2113448468.0
Dài hạn,Dài hạn,Dài hạn,129.823.368.211,(3.150.000.000),126.134.283.349,(3.150.000.000),129823368211.0,-3150000000.0,126134283349.0,-3150000000.0
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",70.280.563.848,(3.150.000.000),67.580.628.639,(3.150.000.000),70280563848.0,-3150000000.0,67580628639.0,-3150000000.0
Các khoản khác,Các khoản khác,Các khoản khác,59.542.804.363,-,58.553.654.710,-,59542804363.0,,58553654710.0,
Tổng,Tổng,Tổng,1.027.193.131.495,(8.550.421.625),297.594.754.091,(8.550.421.625),1027193131495.0,-8550421625.0,297594754091.0,-8550421625.0
Phải thu khác là các bên liên quan,Phải thu khác là các bên liên quan,Phải thu khác là các bên liên quan,60.941.073.806,-,65.159.559.688,-,60941073806.0,,65159559688.0,
