row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng
Số dư tại 01/01/2020,Số dư tại 01/01/2020,Số dư tại 01/01/2020,2.686.319.650.000,84.921.165.989,119.568.635.329,328.927.063.655,(4.810.962.005),3.214.925.552.968,2686319650000.0,84921165989.0,119568635329.0,328927063655.0,-4810962005.0,3214925552968.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,-,2.679.000.000,-,-,2.679.000.000,,,2679000000.0,,,2679000000.0
Tăng khác,Tăng khác,Tăng khác,-,-,2.679.000.000,-,-,2.679.000.000,,,2679000000.0,,,2679000000.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,(96.942.397),-,(248.300.529.085),(8.381.136.308),(256.778.607.790),,-96942397.0,,-248300529085.0,-8381136308.0,-256778607790.0
Lỗ trong năm trước,Lỗ trong năm trước,Lỗ trong năm trước,-,-,-,(235.061.626.585),(8.381.136.308),(243.442.762.893),,,,-235061626585.0,-8381136308.0,-243442762893.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,(3.215.000.000),-,(3.215.000.000),,,,-3215000000.0,,-3215000000.0
Giảm khác (i),Giảm khác (i),Giảm khác (i),-,(96.942.397),-,(10.023.902.500),-,(10.120.844.897),,-96942397.0,,-10023902500.0,,-10120844897.0
Số dư tại 31/12/2020,Số dư tại 31/12/2020,Số dư tại 31/12/2020,2.686.319.650.000,84.824.223.592,122.247.635.329,80.626.534.570,(13.192.098.313),2.960.825.945.179,2686319650000.0,84824223592.0,122247635329.0,80626534570.0,-13192098313.0,2960825945179.0
Số dư tại 01/01/2021,Số dư tại 01/01/2021,Số dư tại 01/01/2021,2.686.319.650.000,84.824.223.592,122.247.635.329,80.626.534.570,(13.192.098.313),2.960.825.945.179,2686319650000.0,84824223592.0,122247635329.0,80626534570.0,-13192098313.0,2960825945179.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,800.000.000.000,-,-,64.925.393.582,-,864.925.393.582,800000000000.0,,,64925393582.0,,864925393582.0
Tăng vốn (*),Tăng vốn (*),Tăng vốn (*),800.000.000.000,-,-,-,-,800.000.000.000,800000000000.0,,,,,800000000000.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,61.583.796.257,-,61.583.796.257,,,,61583796257.0,,61583796257.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,3.341.597.325,-,3.341.597.325,,,,3341597325.0,,3341597325.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,(282.640.197),-,-,(17.936.254.087),(18.218.894.284),,-282640197.0,,,-17936254087.0,-18218894284.0
Lỗ trong năm nay,Lỗ trong năm nay,Lỗ trong năm nay,-,-,-,-,(17.430.783.747),(17.430.783.747),,,,,-17430783747.0,-17430783747.0
Giảm khác,Giảm khác,Giảm khác,-,(282.640.197),-,-,(505.470.340),(788.110.537),,-282640197.0,,,-505470340.0,-788110537.0
Số dư tại 31/12/2021,Số dư tại 31/12/2021,Số dư tại 31/12/2021,3.486.319.650.000,84.541.583.395,122.247.635.329,145.551.928.153,(31.128.352.400),3.807.532.444.477,3486319650000.0,84541583395.0,122247635329.0,145551928153.0,-31128352400.0,3807532444477.0
