row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Tính chất giao dịch,Năm 2021 VND,Năm 2020 VND,numeric__Mối quan hệ,numeric__Tính chất giao dịch,numeric__Năm 2021 VND,numeric__Năm 2020 VND
Vay,Vay,Vay,,,40.846.170.310,55.476.821.226,,,40846170310.0,55476821226.0
Phạm Quang Dũng,Phạm Quang Dũng,Phạm Quang Dũng,Cổ đông lớn,Vay ngắn hạn,40.846.170.310,55.476.821.226,,,40846170310.0,55476821226.0
Cho vay,Cho vay,Cho vay,,,90.000.000,900.000.000,,,90000000.0,900000000.0
Công ty TNHH BOT Hùng Thắng Phú Thọ,Công ty TNHH BOT Hùng Thắng Phú Thọ,Công ty TNHH BOT Hùng Thắng Phú Thọ,Công ty liên kết,Cho vay,90.000.000,900.000.000,,,90000000.0,900000000.0
Lãi vay,Lãi vay,Lãi vay,,,1.191.263.836,1.113.443.014,,,1191263836.0,1113443014.0
Công ty TNHH BOT Hùng Thắng Phú Thọ,Công ty TNHH BOT Hùng Thắng Phú Thọ,Công ty TNHH BOT Hùng Thắng Phú Thọ,Công ty liên kết,Lãi vay,1.191.263.836,1.113.443.014,,,1191263836.0,1113443014.0
Nhận cổ tức,Nhận cổ tức,Nhận cổ tức,,,4.854.502.500,5.664.689.471,,,4854502500.0,5664689471.0
Tổng công ty Thắng Long - CTCP,Tổng công ty Thắng Long - CTCP,Tổng công ty Thắng Long - CTCP,Công ty liên kết,Cổ tức,4.854.502.500,5.664.689.471,,,4854502500.0,5664689471.0
