row_label_raw,row_label_full,31/12/2021,Dưới 1 nămVND,Từ 1-5 nămVND,CộngVND,numeric__Dưới 1 nămVND,numeric__Từ 1-5 nămVND,numeric__CộngVND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,641.553.582.230,-,641.553.582.230,641553582230.0,,641553582230.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.328.070.060.226,126.673.368.211,1.454.743.428.437,1328070060226.0,126673368211.0,1454743428437.0
Các khoản cho vay,Các khoản cho vay,Các khoản cho vay,33.349.285.000,-,33.349.285.000,33349285000.0,,33349285000.0
Đầu tư ngắn hạn,Đầu tư ngắn hạn,Đầu tư ngắn hạn,73.389.607.184,-,73.389.607.184,73389607184.0,,73389607184.0
Đầu tư dài hạn,Đầu tư dài hạn,Đầu tư dài hạn,-,22.800.000.000,22.800.000.000,,22800000000.0,22800000000.0
01/01/2021,01/01/2021,01/01/2021,Dưới 1 nămVND,Từ 1-5 nămVND,CộngVND,,,
Tiền và các khoản tương đương tiền,01/01/2021 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,219.322.711.611,-,219.322.711.611,219322711611.0,,219322711611.0
Phải thu khách hàng và phải thu khác,01/01/2021 > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,893.965.518.130,122.984.283.349,1.016.949.801.479,893965518130.0,122984283349.0,1016949801479.0
Các khoản cho vay,01/01/2021 > Các khoản cho vay,Các khoản cho vay,32.625.979.000,-,32.625.979.000,32625979000.0,,32625979000.0
Đầu tư ngắn hạn,01/01/2021 > Đầu tư ngắn hạn,Đầu tư ngắn hạn,46.920.000.000,-,46.920.000.000,46920000000.0,,46920000000.0
Đầu tư dài hạn,01/01/2021 > Đầu tư dài hạn,Đầu tư dài hạn,-,27.800.000.000,27.800.000.000,,27800000000.0,27800000000.0
