row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Tính chất,31/12/2021VND,01/01/2021VND,numeric__Mối quan hệ,numeric__Tính chất,numeric__31/12/2021VND,numeric__01/01/2021VND
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,,,14.850.000,47.850.000,,,14850000.0,47850000.0
Tổng công ty ThăngLong - CTCP,Tổng công ty ThăngLong - CTCP,Tổng công ty ThăngLong - CTCP,Công ty liên kết,Phải thu khách hàng,14.850.000,47.850.000,,,14850000.0,47850000.0
Tổng công ty ThăngLong - CTCP,Tổng công ty ThăngLong - CTCP,Tổng công ty ThăngLong - CTCP,Công ty liên kết,Phải thu khách hàng,31/12/2021VND,01/01/2021VND,,,,
Các bên liên quan,Các bên liên quan,Các bên liên quan,Mối quan hệ,Tính chất,31/12/2021VND,01/01/2021VND,,,,
Phải thu khác ngắn hạn,Các bên liên quan > Phải thu khác ngắn hạn,Phải thu khác ngắn hạn,,,2.387.419.096,6.605.904.978,,,2387419096.0,6605904978.0
Tổng công ty ThăngLong - CTCP,Các bên liên quan > Tổng công ty ThăngLong - CTCP,Tổng công ty ThăngLong - CTCP,Công ty liên kết,Cổ tức,850.471.671,5.664.589.471,,,850471671.0,5664589471.0
Công ty TNHH BOTHùng Thắng Phú Thọ,Các bên liên quan > Công ty TNHH BOTHùng Thắng Phú Thọ,Công ty TNHH BOTHùng Thắng Phú Thọ,Công ty liên kết,Lãi vay,1.536.947.425,941.315.507,,,1536947425.0,941315507.0
Công ty TNHH BOTHùng Thắng Phú Thọ,Công ty TNHH BOTHùng Thắng Phú Thọ,Công ty TNHH BOTHùng Thắng Phú Thọ,Công ty liên kết,Lãi vay,31/12/2021VND,01/01/2021VND,,,,
Các bên liên quan,Các bên liên quan,Các bên liên quan,Mối quan hệ,Tính chất,31/12/2021VND,01/01/2021VND,,,,
Phải thu về cho vay ngắn hạn,Các bên liên quan > Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,5.740.000.000,5.650.000.000,,,5740000000.0,5650000000.0
Công ty TNHH BOTHùng Thắng Phú Thọ,Các bên liên quan > Công ty TNHH BOTHùng Thắng Phú Thọ,Công ty TNHH BOTHùng Thắng Phú Thọ,Công ty liên kết,Cho vay,5.740.000.000,5.650.000.000,,,5740000000.0,5650000000.0
Công ty TNHH BOTHùng Thắng Phú Thọ,Công ty TNHH BOTHùng Thắng Phú Thọ,Công ty TNHH BOTHùng Thắng Phú Thọ,Công ty liên kết,Cho vay,31/12/2021VND,01/01/2021VND,,,,
Các bên liên quan,Các bên liên quan,Các bên liên quan,Mối quan hệ,Tính chất,31/12/2021VND,01/01/2021VND,,,,
Phải thu khác dài hạn,Các bên liên quan > Phải thu khác dài hạn,Phải thu khác dài hạn,,,58.553.654.710,58.553.654.710,,,58553654710.0,58553654710.0
Phạm Thị Nhải,Các bên liên quan > Phạm Thị Nhải,Phạm Thị Nhải,Người liên quanthành viên Hội đồng quản trị,Phải thu khác,58.553.654.710,58.553.654.710,,,58553654710.0,58553654710.0
Phải trả người bán,Các bên liên quan > Phải trả người bán,Phải trả người bán,,,108.773.523.496,109.370.370.601,,,108773523496.0,109370370601.0
Tổng công ty ThắngLong - CTCP,Các bên liên quan > Tổng công ty ThắngLong - CTCP,Tổng công ty ThắngLong - CTCP,Công ty liên kết,Phải trả người bán,108.773.523.496,109.370.370.601,,,108773523496.0,109370370601.0
Tổng công ty ThắngLong - CTCP,Tổng công ty ThắngLong - CTCP,Tổng công ty ThắngLong - CTCP,Công ty liên kết,Phải trả người bán,31/12/2021VND,01/01/2021VND,,,,
Các bên liên quan,Các bên liên quan,Các bên liên quan,Mối quan hệ,Tính chất,31/12/2021VND,01/01/2021VND,,,,
Phải trả ngắn hạn khác,Các bên liên quan > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,,3.929.019.846,-,,,3929019846.0,
Tổng công ty ThắngLong - CTCP,Các bên liên quan > Tổng công ty ThắngLong - CTCP,Tổng công ty ThắngLong - CTCP,Công ty liên kết,Phải trả khác ngắn hạn,3.929.019.846,-,,,3929019846.0,
Vay và nợ,Các bên liên quan > Vay và nợ,Vay và nợ,,,101.731.276.519,81.661.528.255,,,101731276519.0,81661528255.0
Phạm Quang Dũng,Các bên liên quan > Phạm Quang Dũng,Phạm Quang Dũng,Cổ đông lớn,Vay,101.731.276.519,81.661.528.255,,,101731276519.0,81661528255.0
