row_label_raw,row_label_full,Công ty Tài chính cổ phần Điện lực > Ngân hàng TMCP Việt Á > Ngân hàng TMCP Bưu điện Liên Việt,Số tiền > 500.000 > 200.000 > 300.000,Ngày đáo hạn > 16-01-2017 > 06-01-2017 > 03-01-2017 > 01-03-2017,numeric__Số tiền > 500.000 > 200.000 > 300.000,numeric__Ngày đáo hạn > 16-01-2017 > 06-01-2017 > 03-01-2017 > 01-03-2017
Tổng cộng,Tổng cộng,Tổng cộng,1.500.000,,1500000.0,
3.2. Cho vay các tổ chức tín dụng khác,3.2. Cho vay các tổ chức tín dụng khác,3.2. Cho vay các tổ chức tín dụng khác,31/12/2016,01/01/2016,,
Cho vay ngắn hạn,3.2. Cho vay các tổ chức tín dụng khác > Cho vay ngắn hạn,Cho vay ngắn hạn,2.350.323,385.000,2350323.0,385000.0
Bằng VND (*),3.2. Cho vay các tổ chức tín dụng khác > Bằng VND (*),Bằng VND (*),2.184.130,385.000,2184130.0,385000.0
Bằng ngoại hồi,3.2. Cho vay các tổ chức tín dụng khác > Bằng ngoại hồi,Bằng ngoại hồi,166.193,-,166193.0,
Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,-,-,,
Cộng,Dự phòng rủi ro cho vay các TCTD khác > Cộng,Cộng,2.350.323,385.000,2350323.0,385000.0
Tổng cộng,Dự phòng rủi ro cho vay các TCTD khác > Tổng cộng,Tổng cộng,11.518.329,6.421.902,11518329.0,6421902.0
(*) Chi tiết các khoản cho vay các tổ chức tín dụng như sau:,(*) Chi tiết các khoản cho vay các tổ chức tín dụng như sau:,(*) Chi tiết các khoản cho vay các tổ chức tín dụng như sau:,Số tiền,Ngày đáo hạn,,
Ngân hàng TMCP An Bình,(*) Chi tiết các khoản cho vay các tổ chức tín dụng như sau: > Ngân hàng TMCP An Bình,Ngân hàng TMCP An Bình,145.000,30-06-2017,145000.0,
,,,40.000,07-06-2017,40000.0,
Ngân hàng TMCP Tiền Phong,(*) Chi tiết các khoản cho vay các tổ chức tín dụng như sau: > Ngân hàng TMCP Tiền Phong,Ngân hàng TMCP Tiền Phong,350.000,13-02-2017,350000.0,
,,,500.000,10-02-2017,500000.0,
,,,150.000,13-02-2017,150000.0,
Công ty tài chính CP Điện lực,(*) Chi tiết các khoản cho vay các tổ chức tín dụng như sau: > Công ty tài chính CP Điện lực,Công ty tài chính CP Điện lực,210.000,21-06-2017,210000.0,
,,,220.000,15-09-2017,220000.0,
Ngân hàng TMCP Việt Á,(*) Chi tiết các khoản cho vay các tổ chức tín dụng như sau: > Ngân hàng TMCP Việt Á,Ngân hàng TMCP Việt Á,299.168,17-04-2017,299168.0,
,,,269.962,18-04-2017,269962.0,
Cộng,(*) Chi tiết các khoản cho vay các tổ chức tín dụng như sau: > Cộng,Cộng,2.184.130,,2184130.0,
