row_label_raw,row_label_full,Hội đồng quản trị,Hội đồng quản trị_1,Ngày bổ nhiệm,Ngày miễn nhiệm,numeric__Hội đồng quản trị_1,numeric__Ngày bổ nhiệm,numeric__Ngày miễn nhiệm
Bà TRẦN HẢI ANH,Bà TRẦN HẢI ANH,Bà TRẦN HẢI ANH,Chủ tịch,12-09-16,,,,
Ông VŨ HỒNG NAM,Ông VŨ HỒNG NAM,Ông VŨ HỒNG NAM,Chủ tịch,24-04-15,12-09-16,,,
Ông VŨ HỒNG NAM,Ông VŨ HỒNG NAM,Ông VŨ HỒNG NAM,Thành viên thường trực,12-09-16,,,,
Bà NGUYỄN THỊ MAI,Bà NGUYỄN THỊ MAI,Bà NGUYỄN THỊ MAI,Thành viên thường trực,24-04-15,,,,
Bà ĐẶNG THỊ XUÂN HỒNG,Bà ĐẶNG THỊ XUÂN HỒNG,Bà ĐẶNG THỊ XUÂN HỒNG,Thành viên thường trực,24-04-15,26-04-16,,,
Ông LÊ XUÂN NGHĨA,Ông LÊ XUÂN NGHĨA,Ông LÊ XUÂN NGHĨA,Thành viên độc lập,24-04-15,,,,
Ông NGUYỄN TUÂN HÀI,Ông NGUYỄN TUÂN HÀI,Ông NGUYỄN TUÂN HÀI,Thành viên,24-04-15,,,,
Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,,,
Bà DƯƠNG THỊ LỆ HÀ,Bà DƯƠNG THỊ LỆ HÀ,Bà DƯƠNG THỊ LỆ HÀ,Trường ban,24-04-15,,,,
Bà VŨ KIM PHƯỢNG,Bà VŨ KIM PHƯỢNG,Bà VŨ KIM PHƯỢNG,Phó ban,24-04-15,,,,
Ông LÊ TRỌNG HIỂU,Ông LÊ TRỌNG HIỂU,Ông LÊ TRỌNG HIỂU,Thành viên,24-04-15,,,,
Ban Tổng Giám đốc và Kế toán trường,Ban Tổng Giám đốc và Kế toán trường,Ban Tổng Giám đốc và Kế toán trường,Ban Tổng Giám đốc và Kế toán trường,Ban Tổng Giám đốc và Kế toán trường,Ban Tổng Giám đốc và Kế toán trường,,,
Ông ĐÀO TRỌNG KHANH,Ông ĐÀO TRỌNG KHANH,Ông ĐÀO TRỌNG KHANH,Tổng Giám đốc,11-12-15,01-09-16,,,
Ông VŨ MẠNH TIẾN,Ông VŨ MẠNH TIẾN,Ông VŨ MẠNH TIẾN,Phó Tổng giám đốc thường trực,11-11-13,,,,
Ông NGUYỄN GIANG NAM,Ông NGUYỄN GIANG NAM,Ông NGUYỄN GIANG NAM,Phó Tổng giám đốc,20-06-06,23-07-16,,,
Bà NGUYỄN THỊ MAI,Bà NGUYỄN THỊ MAI,Bà NGUYỄN THỊ MAI,Phó Tổng giám đốc,06-02-13,,,,
Ông TẠ NGỌC ĐA,Ông TẠ NGỌC ĐA,Ông TẠ NGỌC ĐA,Phó Tổng giám đốc,10-10-15,,,,
Ông ĐẶNG MINH HÀI,Ông ĐẶNG MINH HÀI,Ông ĐẶNG MINH HÀI,Phó Tổng giám đốc,25-05-16,,,,
Ông LÊ HỒNG PHƯƠNG,Ông LÊ HỒNG PHƯƠNG,Ông LÊ HỒNG PHƯƠNG,Phó Tổng giám đốc,18-06-16,,,,
Bà ĐỒ THỊ THANH HƯỞNG,Bà ĐỒ THỊ THANH HƯỞNG,Bà ĐỒ THỊ THANH HƯỞNG,Kế toán trường,01-08-16,,,,
