row_label_raw,row_label_full,- Chứng khoán Nợ do các TCKT trong nước phát hành (*),7.892.799,5.579.741,numeric__7.892.799,numeric__5.579.741
- Dự phòng giảm giá chứng khoán đầu tư giữ đến ngày đáo hạn,- Dự phòng giảm giá chứng khoán đầu tư giữ đến ngày đáo hạn,- Dự phòng giảm giá chứng khoán đầu tư giữ đến ngày đáo hạn,(20.000),-,-20000.0,
Cộng,Cộng,Cộng,7.872.799,5.579.741,7872799.0,5579741.0
Tổng cộng,Tổng cộng,Tổng cộng,19.105.820,10.046.019,19105820.0,10046019.0
