row_label_raw,row_label_full,Chỉ tiêu,Quá hạn,Không chịu lãi,Đến 1 tháng,Từ 1 đến 3 tháng,Từ 3 đến 6 tháng,Từ 6 đến 12 tháng,Từ 1 đến 5 năm,Trên 5 năm,Tổng,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Đến 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ 3 đến 6 tháng,numeric__Từ 6 đến 12 tháng,numeric__Từ 1 đến 5 năm,numeric__Trên 5 năm,numeric__Tổng
"Tiền mặt, vàng bạc, đã quý","Tiền mặt, vàng bạc, đã quý","Tiền mặt, vàng bạc, đã quý",-,281.946,-,-,-,-,-,-,281.946,,281946.0,,,,,,,281946.0
Tiền gói tại ngân hàng Nhà nước,Tiền gói tại ngân hàng Nhà nước,Tiền gói tại ngân hàng Nhà nước,-,-,1.626.961,-,-,-,-,-,1.626.961,,,1626961.0,,,,,,1626961.0
"Tiền, vàng gói tại và cho vay các TCTD khác (*)","Tiền, vàng gói tại và cho vay các TCTD khác (*)","Tiền, vàng gói tại và cho vay các TCTD khác (*)",-,-,8.757.211,1.410.795,929.926,420.397,-,-,11.518.329,,,8757211.0,1410795.0,929926.0,420397.0,,,11518329.0
Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,-,-,-,-,-,-,-,,,,,,,,,
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Chứng khoán kinh doanh (*) > Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,33.755,-,-,-,-,-,33.755,,,33755.0,,,,,,33755.0
Cho vay khách hàng (*),Chứng khoán kinh doanh (*) > Cho vay khách hàng (*),Cho vay khách hàng (*),3.596.550,-,1.102.978,1.752.760,2.507.557,2.710.647,6.901.243,6.780.483,25.352.218,3596550.0,,1102978.0,1752760.0,2507557.0,2710647.0,6901243.0,6780483.0,25352218.0
Chứng khoán đầu tư (*),Chứng khoán kinh doanh (*) > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,109.021,40.000,-,250.000,-,16.714.498,2.012.301,19.125.820,,109021.0,40000.0,,250000.0,,16714498.0,2012301.0,19125820.0
"Góp vốn, đầu tư dài hạn (*)","Chứng khoán kinh doanh (*) > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,862.682,-,-,-,-,-,-,862.682,,862682.0,,,,,,,862682.0
Tải sản cố định và Bất động sản đầu tư,Chứng khoán kinh doanh (*) > Tải sản cố định và Bất động sản đầu tư,Tải sản cố định và Bất động sản đầu tư,-,1.182.576,-,-,-,-,-,-,1.182.576,,1182576.0,,,,,,,1182576.0
Tải sản Có khác (*),Chứng khoán kinh doanh (*) > Tải sản Có khác (*),Tải sản Có khác (*),-,9.365.891,-,-,-,-,-,-,9.365.891,,9365891.0,,,,,,,9365891.0
Tổng Tài sản,Chứng khoán kinh doanh (*) > Tổng Tài sản,Tổng Tài sản,3.596.550,11.802.116,11.560.905,3.163.555,3.687.483,3.131.044,23.615.741,8.792.784,69.350.178,3596550.0,11802116.0,11560905.0,3163555.0,3687483.0,3131044.0,23615741.0,8792784.0,69350178.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
