row_label_raw,row_label_full,Chi tiêu,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng
Chi tiêu,Chi tiêu,Chi tiêu,Trên 3 tháng,Dế n 3 tháng,Dế n 1 tháng,Từ 1 - 3 tháng,Từ 3 - 6 tháng,Từ 6 - 12 tháng,Trên 1 năm,Tổng,,,,,,,,
"Tiền mặt, vàng bạc, đá quỹ","Chi tiêu > Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",-,-,281.946,-,-,-,-,281.946,,,281946.0,,,,,281946.0
Tiền gửi tại ngân hàng Nhà nước,Chi tiêu > Tiền gửi tại ngân hàng Nhà nước,Tiền gửi tại ngân hàng Nhà nước,-,-,1.626.961,-,-,-,-,1.626.961,,,1626961.0,,,,,1626961.0
"Tiền, vàng gửi tại và cho vay các TCTD khác (*)","Chi tiêu > Tiền, vàng gửi tại và cho vay các TCTD khác (*)","Tiền, vàng gửi tại và cho vay các TCTD khác (*)",-,-,8.757.211,1.410.795,1.350.323,-,-,11.518.329,,,8757211.0,1410795.0,1350323.0,,,11518329.0
Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,-,-,-,-,-,-,,,,,,,,
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Chứng khoán kinh doanh (*) > Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,33.755,-,-,-,-,33.755,,,33755.0,,,,,33755.0
Cho vay khách hàng (*),Chứng khoán kinh doanh (*) > Cho vay khách hàng (*),Cho vay khách hàng (*),389.880,3.206.671,1.075.503,1.756.242,5.238.716,6.904.568,6.780.639,25.352.217,389880.0,3206671.0,1075503.0,1756242.0,5238716.0,6904568.0,6780639.0,25352217.0
Chứng khoán dầu tư (*),Chứng khoán kinh doanh (*) > Chứng khoán dầu tư (*),Chứng khoán dầu tư (*),-,-,40.032,-,251.378,16.813.686,2.020.724,19.125.821,,,40032.0,,251378.0,16813686.0,2020724.0,19125821.0
"Góp vốn, dầu tư dài hạn (*)","Chứng khoán kinh doanh (*) > Góp vốn, dầu tư dài hạn (*)","Góp vốn, dầu tư dài hạn (*)",-,-,-,-,-,-,869.600,869.600,,,,,,,869600.0,869600.0
Tài sản cố định và Bất động sản đầu tư,Chứng khoán kinh doanh (*) > Tài sản cố định và Bất động sản đầu tư,Tài sản cố định và Bất động sản đầu tư,-,-,-,-,-,-,1.182.576,1.182.576,,,,,,,1182576.0,1182576.0
Tài sản Có khác (*),Chứng khoán kinh doanh (*) > Tài sản Có khác (*),Tài sản Có khác (*),-,-,9.365.891,-,-,-,-,9.365.891,,,9365891.0,,,,,9365891.0
