row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đấtcó thời hạn,Phần mềm máyvi tính,TSCĐ vô hìnhkhác,Tổng cộng,numeric__Quyền sử dụng đấtcó thời hạn,numeric__Phần mềm máyvi tính,numeric__TSCĐ vô hìnhkhác,numeric__Tổng cộng
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,,
Số dư đầu kỳ,Nguyên giá TSCĐ vô hình > Số dư đầu kỳ,Số dư đầu kỳ,913.439,33.911,1.140,948.490,913439.0,33911.0,1140.0,948490.0
- Mua trong kỳ,Nguyên giá TSCĐ vô hình > - Mua trong kỳ,- Mua trong kỳ,600,11.177,189,11.966,600.0,11177.0,189.0,11966.0
- Giảm khác,Nguyên giá TSCĐ vô hình > - Giảm khác,- Giảm khác,-,-,(129),(129),,,-129.0,-129.0
Số dư cuối kỳ,Nguyên giá TSCĐ vô hình > Số dư cuối kỳ,Số dư cuối kỳ,914.039,45.088,1.200,960.327,914039.0,45088.0,1200.0,960327.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu kỳ,Giá trị hao mòn lũy kế > Số dư đầu kỳ,Số dư đầu kỳ,151,10.698,250,11.099,151.0,10698.0,250.0,11099.0
- Khẩu hao trong kỳ,Giá trị hao mòn lũy kế > - Khẩu hao trong kỳ,- Khẩu hao trong kỳ,38,4.131,128,4.298,38.0,4131.0,128.0,4298.0
- Giảm khác,Giá trị hao mòn lũy kế > - Giảm khác,- Giảm khác,-,-,(36),(36),,,-36.0,-36.0
Số dư cuối kỳ,Giá trị hao mòn lũy kế > Số dư cuối kỳ,Số dư cuối kỳ,189,14.829,343,15.361,189.0,14829.0,343.0,15361.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,
Số dư đầu kỳ,Giá trị còn lại của TSCĐ vô hình > Số dư đầu kỳ,Số dư đầu kỳ,913.288,23.213,890,937.391,913288.0,23213.0,890.0,937391.0
Số dư cuối kỳ,Giá trị còn lại của TSCĐ vô hình > Số dư cuối kỳ,Số dư cuối kỳ,913.850,30.259,857,944.966,913850.0,30259.0,857.0,944966.0
