row_label_raw,row_label_full,Công ty phát hành > Cty CP Đầu tư Sài Gòn Đà Nẵng > Cty CP Phát triển Đô thị Sài Gòn Tây Bắc > CTY TNHH MTV,Ngày đáo hạn > 30-06-18 > 18-12-19 > 10-06-20,"Lãi suất > 11,5%/năm > 12,5%/năm > 8%/năm",Số lượng trái phiếu > 3.431.320 > 2.128.930 > 200,Giá trị đầu tư > 400.000 > 89.134 > 200.000,numeric__Ngày đáo hạn > 30-06-18 > 18-12-19 > 10-06-20,"numeric__Lãi suất > 11,5%/năm > 12,5%/năm > 8%/năm",numeric__Số lượng trái phiếu > 3.431.320 > 2.128.930 > 200,numeric__Giá trị đầu tư > 400.000 > 89.134 > 200.000
MasanConsumerHoldings,MasanConsumerHoldings,MasanConsumerHoldings,,,,-,,,,
Công ty CP XNK tổng hợp Hà Nội,MasanConsumerHoldings > Công ty CP XNK tổng hợp Hà Nội,Công ty CP XNK tổng hợp Hà Nội,15-04-19,10%/năm,350,350.000,,,350.0,350000.0
Công ty CP công nghiệp quốc tế Hoàng Anh Gia Lai,MasanConsumerHoldings > Công ty CP công nghiệp quốc tế Hoàng Anh Gia Lai,Công ty CP công nghiệp quốc tế Hoàng Anh Gia Lai,17-12-18,10.5%/năm,300,300.000,,,300.0,300000.0
Công ty Mua bán nợ và tài sản tồn động của doanh nghiệp (DATC),MasanConsumerHoldings > Công ty Mua bán nợ và tài sản tồn động của doanh nghiệp (DATC),Công ty Mua bán nợ và tài sản tồn động của doanh nghiệp (DATC),Năm 2023,8.9%/năm,315.540,31.554,,,315540.0,31554.0
,,,,,250.000,250.000,,,250000.0,250000.0
Công ty CP Hoàng Anh Đà Lạt,MasanConsumerHoldings > Công ty CP Hoàng Anh Đà Lạt,Công ty CP Hoàng Anh Đà Lạt,,,450.000,450.000,,,450000.0,450000.0
Công ty T&C,Công ty T&C,Công ty T&C,,,,,,,,
Cty TNHH 1 thành viên quản lý tài sản của các TCTD Việt Nam,Công ty T&C > Cty TNHH 1 thành viên quản lý tài sản của các TCTD Việt Nam,Cty TNHH 1 thành viên quản lý tài sản của các TCTD Việt Nam,Năm 2018,0%/năm,35 mã,690.293,,,,690293.0
Cty TNHH 1 thành viên quản lý tài sản của các TCTD Việt Nam,Công ty T&C > Cty TNHH 1 thành viên quản lý tài sản của các TCTD Việt Nam,Cty TNHH 1 thành viên quản lý tài sản của các TCTD Việt Nam,Năm 2019,0%/năm,20 mã,35.250,,,,35250.0
Cty TNHH 1 thành viên quản lý tài sản của các TCTD Việt Nam,Công ty T&C > Cty TNHH 1 thành viên quản lý tài sản của các TCTD Việt Nam,Cty TNHH 1 thành viên quản lý tài sản của các TCTD Việt Nam,Năm 2020,0%/năm,145 mã,3.858.924,,,,3858924.0
Cty TNHH 1 thành viên quản lý tài sản của các TCTD Việt Nam,Công ty T&C > Cty TNHH 1 thành viên quản lý tài sản của các TCTD Việt Nam,Cty TNHH 1 thành viên quản lý tài sản của các TCTD Việt Nam,Năm 2021,0%/năm,145 mã,1.237.645,,,,1237645.0
Tổng cộng,Công ty T&C > Tổng cộng,Tổng cộng,,,,7.892.799,,,,7892799.0
"7. Góp vốn, đầu tư dài hạn","7. Góp vốn, đầu tư dài hạn","7. Góp vốn, đầu tư dài hạn",,,31/12/2016,01/01/2016,,,,
- Phân tích giá trị đầu tư theo loại hình đầu tư,- Phân tích giá trị đầu tư theo loại hình đầu tư,- Phân tích giá trị đầu tư theo loại hình đầu tư,- Phân tích giá trị đầu tư theo loại hình đầu tư,- Phân tích giá trị đầu tư theo loại hình đầu tư,- Phân tích giá trị đầu tư theo loại hình đầu tư,- Phân tích giá trị đầu tư theo loại hình đầu tư,,,,
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,,,-,-,,,,
Các khoản đầu tư dài hạn khác,Đầu tư vào công ty con > Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,,,869.600,873.967,,,869600.0,873967.0
Dự phòng giảm giá đầu tư dài hạn,Đầu tư vào công ty con > Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,,,(6.918),(3.918),,,-6918.0,-3918.0
Tổng cộng,Đầu tư vào công ty con > Tổng cộng,Tổng cộng,,,862.682,870.049,,,862682.0,870049.0
