row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2016 > CHỈ TIÊU,Tại ngày 31 tháng 12 năm 2016 > Thuyết minh,Đơn vị tính: Triệu đồng Việt Nam > 31/12/2016,Đơn vị tính: Triệu đồng Việt Nam > 01/01/2016,numeric__Tại ngày 31 tháng 12 năm 2016 > Thuyết minh,numeric__Đơn vị tính: Triệu đồng Việt Nam > 31/12/2016,numeric__Đơn vị tính: Triệu đồng Việt Nam > 01/01/2016
B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU,,,
I. Các khoản nợ chính phủ và Ngân hàng Nhà nước,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU > I. Các khoản nợ chính phủ và Ngân hàng Nhà nước,I. Các khoản nợ chính phủ và Ngân hàng Nhà nước,,1.209.304,,,1209304.0,
II. Tiền gửi và vay các TCTD khác,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU > II. Tiền gửi và vay các TCTD khác,II. Tiền gửi và vay các TCTD khác,V.11,20.697.013,9.990.948,,20697013.0,9990948.0
1. Tiền gửi của các TCTD khác,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU > 1. Tiền gửi của các TCTD khác,1. Tiền gửi của các TCTD khác,,16.349.471,8.189.698,,16349471.0,8189698.0
2. Vay các TCTD khác,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU > 2. Vay các TCTD khác,2. Vay các TCTD khác,,4.347.542,1.801.250,,4347542.0,1801250.0
III. Tiền gửi của khách hàng,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU > III. Tiền gửi của khách hàng,III. Tiền gửi của khách hàng,V.12,41.791.705,34.030.972,,41791705.0,34030972.0
IV. Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU > IV. Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,IV. Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,,-,8.050,,,8050.0
"V. Vốn tài trợ, Ủy thác đầu tư, cho vay TCTD chịu rủi ro","B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU > V. Vốn tài trợ, Ủy thác đầu tư, cho vay TCTD chịu rủi ro","V. Vốn tài trợ, Ủy thác đầu tư, cho vay TCTD chịu rủi ro",V.13,185.439,113.884,,185439.0,113884.0
VI. Phát hành giấy tờ có giá,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU > VI. Phát hành giấy tờ có giá,VI. Phát hành giấy tờ có giá,V.14,918.687,200.097,,918687.0,200097.0
VII. Các khoản nợ khác,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU > VII. Các khoản nợ khác,VII. Các khoản nợ khác,V.15,980.697,668.725,,980697.0,668725.0
"1. Các khoản lãi, phí phải trả","B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU > 1. Các khoản lãi, phí phải trả","1. Các khoản lãi, phí phải trả",,862.837,610.683,,862837.0,610683.0
2. Thuế TNDN hoãn lại phải trả,2. Thuế TNDN hoãn lại phải trả,2. Thuế TNDN hoãn lại phải trả,,-,-,,,
3. Các khoản phải trả và công nợ khác,2. Thuế TNDN hoãn lại phải trả > 3. Các khoản phải trả và công nợ khác,3. Các khoản phải trả và công nợ khác,,117.860,58.042,,117860.0,58042.0
4. Dự phòng rủi ro khác (DP cho công nợ tiềm ăn và cam kết ngoại bảng),4. Dự phòng rủi ro khác (DP cho công nợ tiềm ăn và cam kết ngoại bảng),4. Dự phòng rủi ro khác (DP cho công nợ tiềm ăn và cam kết ngoại bảng),,-,-,,,
TỔNG NỘ PHẢI TRẢ,4. Dự phòng rủi ro khác (DP cho công nợ tiềm ăn và cam kết ngoại bảng) > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,65.782.845,45.012.676,,65782845.0,45012676.0
