row_label_raw,row_label_full,Năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > 10.4 Dự phòng rủi ro cho các tài sản Có nội bằng khác,Năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > 10.4 Dự phòng rủi ro cho các tài sản Có nội bằng khác_1,Đơn vị tính: Triệu đồng Việt Nam > 31/12/2016,Đơn vị tính: Triệu đồng Việt Nam > 01/01/2016,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > 10.4 Dự phòng rủi ro cho các tài sản Có nội bằng khác_1,numeric__Đơn vị tính: Triệu đồng Việt Nam > 31/12/2016,numeric__Đơn vị tính: Triệu đồng Việt Nam > 01/01/2016
- Dự phòng rủi ro các khoản nợ phải thu khó đòi,- Dự phòng rủi ro các khoản nợ phải thu khó đòi,- Dự phòng rủi ro các khoản nợ phải thu khó đòi,- Dự phòng rủi ro các khoản nợ phải thu khó đòi,(28.859),(28.859),,-28859.0,-28859.0
Cộng,Cộng,Cộng,Cộng,(28.859),(28.859),,-28859.0,-28859.0
11. Tiền gửi và vay các TCTD khác,11. Tiền gửi và vay các TCTD khác,11. Tiền gửi và vay các TCTD khác,11. Tiền gửi và vay các TCTD khác,,,,,
,,,,31/12/2016,01/01/2016,,,
11.1. Tiền gửi của các TCTD khác,11.1. Tiền gửi của các TCTD khác,11.1. Tiền gửi của các TCTD khác,11.1. Tiền gửi của các TCTD khác,,,,,
a. Tiền gửi không kỳ hạn,11.1. Tiền gửi của các TCTD khác > a. Tiền gửi không kỳ hạn,a. Tiền gửi không kỳ hạn,a. Tiền gửi không kỳ hạn,6.697.206,61.247,,6697206.0,61247.0
- Bằng VND,11.1. Tiền gửi của các TCTD khác > - Bằng VND,- Bằng VND,- Bằng VND,6.697.144,61.247,,6697144.0,61247.0
- Bằng ngoại hối,11.1. Tiền gửi của các TCTD khác > - Bằng ngoại hối,- Bằng ngoại hối,- Bằng ngoại hối,62,-,,62.0,
b. Tiền gửi có kỳ hạn,11.1. Tiền gửi của các TCTD khác > b. Tiền gửi có kỳ hạn,b. Tiền gửi có kỳ hạn,b. Tiền gửi có kỳ hạn,9.652.265,8.128.451,,9652265.0,8128451.0
- Bằng VND,11.1. Tiền gửi của các TCTD khác > - Bằng VND,- Bằng VND,- Bằng VND,9.652.265,8.128.451,,9652265.0,8128451.0
Cộng,11.1. Tiền gửi của các TCTD khác > Cộng,Cộng,Cộng,16.349.471,8.189.698,,16349471.0,8189698.0
11.2. Vay các TCTD khác,11.2. Vay các TCTD khác,11.2. Vay các TCTD khác,11.2. Vay các TCTD khác,,,,,
- Bằng VND,11.2. Vay các TCTD khác > - Bằng VND,- Bằng VND,- Bằng VND,3.904.362,1.801.250,,3904362.0,1801250.0
- Bằng ngoại hối,11.2. Vay các TCTD khác > - Bằng ngoại hối,- Bằng ngoại hối,- Bằng ngoại hối,443.180,-,,443180.0,
Cộng,11.2. Vay các TCTD khác > Cộng,Cộng,Cộng,4.347.542,1.801.250,,4347542.0,1801250.0
Tổng cộng tiền gửi của và vay TCTD khác,11.2. Vay các TCTD khác > Tổng cộng tiền gửi của và vay TCTD khác,Tổng cộng tiền gửi của và vay TCTD khác,Tổng cộng tiền gửi của và vay TCTD khác,20.697.013,9.990.948,,20697013.0,9990948.0
12. Tiền gửi của khách hàng,12. Tiền gửi của khách hàng,12. Tiền gửi của khách hàng,12. Tiền gửi của khách hàng,,,,,
- Thuyết minh theo loại tiền gửi,- Thuyết minh theo loại tiền gửi,- Thuyết minh theo loại tiền gửi,- Thuyết minh theo loại tiền gửi,,,,,
,,,,31/12/2016,01/01/2016,,,
"Tiền, vàng gửi không kỳ hạn","- Thuyết minh theo loại tiền gửi > Tiền, vàng gửi không kỳ hạn","Tiền, vàng gửi không kỳ hạn","Tiền, vàng gửi không kỳ hạn",2.276.865,1.570.054,,2276865.0,1570054.0
- Bằng VND,- Thuyết minh theo loại tiền gửi > - Bằng VND,- Bằng VND,- Bằng VND,2.236.499,1.487.588,,2236499.0,1487588.0
- Bằng ngoại hối,- Thuyết minh theo loại tiền gửi > - Bằng ngoại hối,- Bằng ngoại hối,- Bằng ngoại hối,40.366,82.466,,40366.0,82466.0
"Tiền, vàng gửi có kỳ hạn","- Thuyết minh theo loại tiền gửi > Tiền, vàng gửi có kỳ hạn","Tiền, vàng gửi có kỳ hạn","Tiền, vàng gửi có kỳ hạn",39.320.096,32.346.920,,39320096.0,32346920.0
