row_label_raw,row_label_full,Chức vụ,Thu nhập,Thu nhập_1,numeric__Thu nhập,numeric__Thu nhập_1
Chức vụ,Chức vụ,Chức vụ,Năm nay,Năm trước,,
Chủ tịch HĐQT,Chức vụ > Chủ tịch HĐQT,Chủ tịch HĐQT,2.485.080.000,2.760.000.000,2485080000.0,2760000000.0
Phó Chủ tịch thường trực,Chức vụ > Phó Chủ tịch thường trực,Phó Chủ tịch thường trực,-,834.782.609,,834782609.0
Phó Chủ tịch HĐQT,Chức vụ > Phó Chủ tịch HĐQT,Phó Chủ tịch HĐQT,617.580.000,690.000.000,617580000.0,690000000.0
Thành viên HĐQT kiểm Chủ tịch Ủy ban chiến lược,Chức vụ > Thành viên HĐQT kiểm Chủ tịch Ủy ban chiến lược,Thành viên HĐQT kiểm Chủ tịch Ủy ban chiến lược,1.374.400.000,1.185.750.000,1374400000.0,1185750000.0
Thành viên HĐQT,Chức vụ > Thành viên HĐQT,Thành viên HĐQT,866.580.000,942.224.205,866580000.0,942224205.0
Thành viên độc lập HĐQT,Chức vụ > Thành viên độc lập HĐQT,Thành viên độc lập HĐQT,-,306.000.000,,306000000.0
Thành viên độc lập HĐQT,Chức vụ > Thành viên độc lập HĐQT,Thành viên độc lập HĐQT,-,208.695.652,,208695652.0
Thành viên độc lập HĐQT,Chức vụ > Thành viên độc lập HĐQT,Thành viên độc lập HĐQT,317.100.000,72.734.694,317100000.0,72734694.0
Thành viên độc lập HĐQT kiểm Chủ tịch Ủy ban Kiểm toán,Chức vụ > Thành viên độc lập HĐQT kiểm Chủ tịch Ủy ban Kiểm toán,Thành viên độc lập HĐQT kiểm Chủ tịch Ủy ban Kiểm toán,504.380.000,247.219.000,504380000.0,247219000.0
Tổng Giám đốc,Chức vụ > Tổng Giám đốc,Tổng Giám đốc,2.650.071.176,2.040.126.999,2650071176.0,2040126999.0
Phó Tổng Giám đốc,Chức vụ > Phó Tổng Giám đốc,Phó Tổng Giám đốc,1.343.330.000,801.673.478,1343330000.0,801673478.0
Phó Tổng Giám đốc,Chức vụ > Phó Tổng Giám đốc,Phó Tổng Giám đốc,1.177.470.000,938.902.005,1177470000.0,938902005.0
Phó Tổng Giám đốc,Chức vụ > Phó Tổng Giám đốc,Phó Tổng Giám đốc,908.561.191,641.165.883,908561191.0,641165883.0
Phó Tổng Giám đốc,Chức vụ > Phó Tổng Giám đốc,Phó Tổng Giám đốc,900.741.769,504.159.250,900741769.0,504159250.0
Phó Tổng Giám đốc,Chức vụ > Phó Tổng Giám đốc,Phó Tổng Giám đốc,912.334.751,591.250.181,912334751.0,591250181.0
Phó Tổng Giám đốc,Chức vụ > Phó Tổng Giám đốc,Phó Tổng Giám đốc,-,406.651.911,,406651911.0
Phó Tổng Giám đốc,Chức vụ > Phó Tổng Giám đốc,Phó Tổng Giám đốc,-,406.872.376,,406872376.0
TỔNG CỘNG,Chức vụ > TỔNG CỘNG,TỔNG CỘNG,14.057.628.887,13.578.208.243,14057628887.0,13578208243.0
