row_label_raw,row_label_full,Bên liên quan > Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 18.1),numeric__Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 18.1),numeric__Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 18.1),numeric__Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 18.1),numeric__Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 18.1)
Công ty Topaz,Công ty Topaz,Công ty Topaz,Công ty con,Phải trả phí dịch vụ tư vấn,5.452.291.529,-,,,5452291529.0,
Công ty PSP,Công ty PSP,Công ty PSP,Công ty con gián tiếp,Phải trả phí dịch vụ quản lý,1.978.557.016,6.695.319.118,,,1978557016.0,6695319118.0
Công ty Diamond IC,Công ty Diamond IC,Công ty Diamond IC,Công ty con,Phải trả phí dịch vụ tư vấn,1.896.089.793,-,,,1896089793.0,
Công ty ĐT và KĐ BĐS Hải Phát,Công ty ĐT và KĐ BĐS Hải Phát,Công ty ĐT và KĐ BĐS Hải Phát,Công ty liên kết,Phí môi giới phải trả,1.616.755.280,-,,,1616755280.0,
Công ty Hải Phát-Bình Thuận,Công ty Hải Phát-Bình Thuận,Công ty Hải Phát-Bình Thuận,Công ty con,Phải trả theo hợp đồng chuyển nhượng quyền sử dụng đất,475.626.200,-,,,475626200.0,
Công ty Cổ phần Bê tông Xây dựng và Thương mại Phúc Thành,Công ty Cổ phần Bê tông Xây dựng và Thương mại Phúc Thành,Công ty Cổ phần Bê tông Xây dựng và Thương mại Phúc Thành,Công ty thuộc sở hữu của thành viên HĐQT,Tiền vật liệu xây dựng phải trả,-,953.689.897,,,,953689897.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,Phải trả khác,456.157.839,182.961.673,,,456157839.0,182961673.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,11.875.477.657,7.831.970.688,,,11875477657.0,7831970688.0
Chỉ phí phải trả ngắn hạn (Thuyết minh số 20),Chỉ phí phải trả ngắn hạn (Thuyết minh số 20),Chỉ phí phải trả ngắn hạn (Thuyết minh số 20),Chỉ phí phải trả ngắn hạn (Thuyết minh số 20),Chỉ phí phải trả ngắn hạn (Thuyết minh số 20),Chỉ phí phải trả ngắn hạn (Thuyết minh số 20),Chỉ phí phải trả ngắn hạn (Thuyết minh số 20),,,,
Công ty Topaz,Chỉ phí phải trả ngắn hạn (Thuyết minh số 20) > Công ty Topaz,Công ty Topaz,Công ty con,Phải trả phí tư vấn,-,653.346.333,,,,653346333.0
TỔNG CỘNG,Chỉ phí phải trả ngắn hạn (Thuyết minh số 20) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,-,653.346.333,,,,653346333.0
