row_label_raw,row_label_full,25.2,Chi tiết vốn đầu tư của chủ sở hữu,Chi tiết vốn đầu tư của chủ sở hữu_1,Chi tiết vốn đầu tư của chủ sở hữu_2,Chi tiết vốn đầu tư của chủ sở hữu_3,Chi tiết vốn đầu tư của chủ sở hữu_4,Chi tiết vốn đầu tư của chủ sở hữu_5,numeric__Chi tiết vốn đầu tư của chủ sở hữu,numeric__Chi tiết vốn đầu tư của chủ sở hữu_1,numeric__Chi tiết vốn đầu tư của chủ sở hữu_2,numeric__Chi tiết vốn đầu tư của chủ sở hữu_3,numeric__Chi tiết vốn đầu tư của chủ sở hữu_4,numeric__Chi tiết vốn đầu tư của chủ sở hữu_5
,,,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
,,,Tổng số,Cổ phiếu thường,Cổ phiếu ưu đãi,Tổng số,Cổ phiếu thường,Cổ phiếu ưu đãi,,,,,,
Vốn góp của cổ đông,Vốn góp của cổ đông,Vốn góp của cổ đông,3.041.685.810.000,3.041.685.810.000,-,2.644.945.820.000,2.644.945.820.000,-,3041685810000.0,3041685810000.0,,2644945820000.0,2644945820000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.041.685.810.000,3.041.685.810.000,-,2.644.945.820.000,2.644.945.820.000,-,3041685810000.0,3041685810000.0,,2644945820000.0,2644945820000.0,
25.3,25.3,25.3,Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,,,,,,
,,,,,,,Năm nay,Đơn vị tính: VND,,,,,,
Vốn đã góp của chủ sở hữu,25.3 > Vốn đã góp của chủ sở hữu,Vốn đã góp của chủ sở hữu,Vốn đã góp của chủ sở hữu,Vốn đã góp của chủ sở hữu,Vốn đã góp của chủ sở hữu,2.644.945.820.000,1.999.963.050.000,,,,,2644945820000.0,1999963050000.0,
Số đầu năm,25.3 > Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,396.739.990.000,644.982.770.000,,,,,396739990000.0,644982770000.0,
Tăng từ chia cổ tức bằng cổ phiếu,25.3 > Tăng từ chia cổ tức bằng cổ phiếu,Tăng từ chia cổ tức bằng cổ phiếu,Tăng từ chia cổ tức bằng cổ phiếu,Tăng từ chia cổ tức bằng cổ phiếu,Tăng từ chia cổ tức bằng cổ phiếu,3.041.685.810.000,2.644.945.820.000,,,,,3041685810000.0,2644945820000.0,
Số cuối năm,25.3 > Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,396.739.990.000,644.982.770.000,,,,,396739990000.0,644982770000.0,
Cổ tức bằng cổ phiếu đã chia,Cổ tức bằng cổ phiếu đã chia,Cổ tức bằng cổ phiếu đã chia,Cổ tức bằng cổ phiếu đã chia,Cổ tức bằng cổ phiếu đã chia,Cổ tức bằng cổ phiếu đã chia,,,,,,,,,
25.4,25.4,25.4,Cổ tức,Cổ tức,Cổ tức,Cổ tức,Cổ tức,Đơn vị tính: VND,,,,,,
,,,,,,,Năm nay,Năm trước,,,,,,
