row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Đơn vị tính: VND Số đầu năm,Đơn vị tính: VND Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Đơn vị tính: VND Số đầu năm,numeric__Đơn vị tính: VND Số đầu năm_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Bất động sản để bán đang xây dựng,Bất động sản để bán đang xây dựng,Bất động sản để bán đang xây dựng,2.460.489.864.970,-,429.439.794.641,-,2460489864970.0,,429439794641.0,
Dự án Khu đô thị phía Nam thành phố Bắc Giang,Dự án Khu đô thị phía Nam thành phố Bắc Giang,Dự án Khu đô thị phía Nam thành phố Bắc Giang,876.887.064.723,-,-,-,876887064723.0,,,
Dự án Nhà ở Thương mại thành phố Lào Cai,Dự án Nhà ở Thương mại thành phố Lào Cai,Dự án Nhà ở Thương mại thành phố Lào Cai,536.312.731.342,-,-,-,536312731342.0,,,
Dự án Ka Long tỉnh Quảng Ninh,Dự án Ka Long tỉnh Quảng Ninh,Dự án Ka Long tỉnh Quảng Ninh,434.210.077.265,-,-,-,434210077265.0,,,
Dự án Đề Thám - Cao Bằng,Dự án Đề Thám - Cao Bằng,Dự án Đề Thám - Cao Bằng,336.251.798.242,-,235.727.229.117,-,336251798242.0,,235727229117.0,
Dự án Tuy Hòa Phú Yên,Dự án Tuy Hòa Phú Yên,Dự án Tuy Hòa Phú Yên,201.017.030.629,-,156.817.757.614,-,201017030629.0,,156817757614.0,
Các dự án khác,Các dự án khác,Các dự án khác,75.811.162.769,-,36.894.807.910,-,75811162769.0,,36894807910.0,
Bất động sản để bán đã hoàn thành,Bất động sản để bán đã hoàn thành,Bất động sản để bán đã hoàn thành,327.943.890.115,-,429.981.249.369,-,327943890115.0,,429981249369.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.788.433.755.085,-,859.421.044.010,-,2788433755085.0,,859421044010.0,
