row_label_raw,row_label_full,col_0,"Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,Đơn vị tính: VNDTổng cộng,"numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,284.918.181,11.861.996.364,2.056.248.786,14.203.163.331,284918181.0,11861996364.0,2056248786.0,14203163331.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,1.182.670.909,163.014.546,1.345.685.455,,1182670909.0,163014546.0,1345685455.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,284.918.181,13.044.667.273,2.219.263.332,15.548.848.786,284918181.0,13044667273.0,2219263332.0,15548848786.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,284.918.181,-,1.701.282.723,1.986.200.904,284918181.0,,1701282723.0,1986200904.0
Hao mòn lũy kế:,Hao mòn lũy kế:,Hao mòn lũy kế:,Hao mòn lũy kế:,Hao mòn lũy kế:,Hao mòn lũy kế:,Hao mòn lũy kế:,,,,
Số đầu năm,Hao mòn lũy kế: > Số đầu năm,Số đầu năm,(284.918.181),(8.746.749.076),(1.553.047.682),(10.584.714.939),-284918181.0,-8746749076.0,-1553047682.0,-10584714939.0
Khấu hao trongnăm,Hao mòn lũy kế: > Khấu hao trongnăm,Khấu hao trongnăm,-,(2.089.684.086),(489.355.819),(2.579.039.905),,-2089684086.0,-489355819.0,-2579039905.0
Số cuối năm,Hao mòn lũy kế: > Số cuối năm,Số cuối năm,(284.918.181),(10.836.433.162),(2.042.403.501),(13.163.754.844),-284918181.0,-10836433162.0,-2042403501.0,-13163754844.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,-,3.115.247.288,503.201.104,3.618.448.392,,3115247288.0,503201104.0,3618448392.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,-,2.208.234.111,176.859.831,2.385.093.942,,2208234111.0,176859831.0,2385093942.0
