row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nội dung nghiệp vụ,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Môi quan hệ,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Công ty Ruby,Công ty Ruby,Công ty Ruby,Công ty con,Nhận tiền quản lý vốn tập trung,161.000.000.000,386.600.000.000,,,161000000000.0,386600000000.0
Công ty Ruby,Công ty Ruby,Công ty Ruby,Công ty con,Chuyển trả tiền quản lý vốn tập trung,16.080.054.795,-,,,16080054795.0,
Công ty Ruby,Công ty Ruby,Công ty Ruby,Công ty con,Phải trả lãi từ dòng tiền quản lý vốn tập trung,189.724.399,1.556.682.192,,,189724399.0,1556682192.0
Công ty Ruby,Công ty Ruby,Công ty Ruby,Công ty con,Chuyển tiền góp vốn,,1.000.500.000.000,,,,1000500000000.0
Công ty Ruby,Công ty Ruby,Công ty Ruby,Công ty con,Phải thu từ chuyển nhượng vốn góp,,1.000.000.000.000,,,,1000000000000.0
Công ty Ruby,Công ty Ruby,Công ty Ruby,Công ty con,Bù trừ công nợ,,633.700.000.000,,,,633700000000.0
Công ty Ruby,Công ty Ruby,Công ty Ruby,Công ty con,Bù trừ công nợ với tiền phải trả theo thỏa thuận quản lý vốn tập trung,,366.300.000.000,,,,366300000000.0
Công ty Ruby,Công ty Ruby,Công ty Ruby,Công ty con,Phải thu cổ tức,,80.000.000.000,,,,80000000000.0
Công ty Ruby,Công ty Ruby,Công ty Ruby,Công ty con,Tiền cổ tức đã thu,,80.000.000.000,,,,80000000000.0
Công ty Heritage,Công ty Heritage,Công ty Heritage,Công ty con,Chuyển tiền góp vốn,,250.000.000.000,,,,250000000000.0
Công ty Heritage,Công ty Heritage,Công ty Heritage,Công ty con,Nhận tiền hợp tác đầu tư,239.750.000.000,-,,,239750000000.0,
Công ty Heritage,Công ty Heritage,Công ty Heritage,Công ty con,Hoàn trả tiền hợp tác đầu tư,240.000.000.000,-,,,240000000000.0,
Công ty Heritage,Công ty Heritage,Công ty Heritage,Công ty con,Chuyển trả tiền quản lý vốn tập trung,10.120.000.000,-,,,10120000000.0,
Công ty Heritage,Công ty Heritage,Công ty Heritage,Công ty con,Phải thu chuyển giao chi phí dự án,849.470.312,-,,,849470312.0,
Công ty Heritage,Công ty Heritage,Công ty Heritage,Công ty con,Bù trừ công nợ,127.151.036,-,,,127151036.0,
Công ty Heritage,Công ty Heritage,Công ty Heritage,Công ty con,Phải trả lãi từ dòng tiền quản lý vốn tập trung,43.463.365,703.687.671,,,43463365.0,703687671.0
Công ty Heritage,Công ty Heritage,Công ty Heritage,Công ty con,Nhận tiền theo thỏa thuận quản lý vốn tập trung,,249.800.000.000,,,,249800000000.0
Công ty Heritage,Công ty Heritage,Công ty Heritage,Công ty con,Chuyển tiền từ thỏa thuận quản lý vốn tập trung sang hợp tác đầu tư,,240.000.000.000,,,,240000000000.0
Công ty Heritage,Công ty Heritage,Công ty Heritage,Công ty con,Phải thu tiền chi hộ,,1.422.878.893,,,,1422878893.0
Công ty IWG,Công ty IWG,Công ty IWG,Công ty con gián tiếp,Chuyển tiền góp vốn,,2.425.000.000,,,,2425000000.0
Công ty IWG,Công ty IWG,Công ty IWG,Công ty con gián tiếp,Phải trả dịch vụ tư vấn,187.000.000,-,,,187000000.0,
Công ty IWG,Công ty IWG,Công ty IWG,Công ty con gián tiếp,Dịch vụ tư vấn đã trả,66.000.000,-,,,66000000.0,
Công ty Topaz,Công ty Topaz,Công ty Topaz,Công ty con,Chuyển tiền góp vốn,4.700.000.000,300.000.000,,,4700000000.0,300000000.0
Công ty Topaz,Công ty Topaz,Công ty Topaz,Công ty con,Nhận tiền theo thỏa thuận quản lý vốn tập trung,8.100.000.000,-,,,8100000000.0,
Công ty Topaz,Công ty Topaz,Công ty Topaz,Công ty con,Phải trả phí tư vấn,13.467.674.481,653.346.333,,,13467674481.0,653346333.0
Công ty Topaz,Công ty Topaz,Công ty Topaz,Công ty con,Phí tư vấn đã trả,7.465.775.112,-,,,7465775112.0,
Công ty Topaz,Công ty Topaz,Công ty Topaz,Công ty con,Bù trừ công nợ,549.607.840,-,,,549607840.0,
Công ty Cienco 5,Công ty Cienco 5,Công ty Cienco 5,Công ty cùng thành viên HĐQT,Chuyển tiền HTĐT,,197.000.000.000,,,,197000000000.0
