row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Thu nhập khác,Thu nhập khác,Thu nhập khác,16.097.371.532,26.100.480.074,16097371532.0,26100480074.0
Thu nhập từ cho thuê,Thu nhập từ cho thuê,Thu nhập từ cho thuê,13.622.988.415,13.480.235.746,13622988415.0,13480235746.0
"Thu nhập từ bồi thường, phạt vi phạm hợp đồng","Thu nhập từ bồi thường, phạt vi phạm hợp đồng","Thu nhập từ bồi thường, phạt vi phạm hợp đồng",2.246.080.664,2.907.905.466,2246080664.0,2907905466.0
Thu nhập từ các khoản công nợ,Thu nhập từ các khoản công nợ,Thu nhập từ các khoản công nợ,-,9.327.805.985,,9327805985.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,228.302.453,384.532.877,228302453.0,384532877.0
Chi phí khác,Chi phí khác,Chi phí khác,3.198.933.759,9.576.485.900,3198933759.0,9576485900.0
Phạt thanh lý hợp đồng,Phạt thanh lý hợp đồng,Phạt thanh lý hợp đồng,1.759.413.203,2.139.502.792,1759413203.0,2139502792.0
Tiền chậm nộp thuế,Tiền chậm nộp thuế,Tiền chậm nộp thuế,1.439.520.556,6.040.460.317,1439520556.0,6040460317.0
Chi phí khác,Chi phí khác,Chi phí khác,-,1.396.522.791,,1396522791.0
L^{-}I NHUÂN KHÁC THUÂN,L^{-}I NHUÂN KHÁC THUÂN,L^{-}I NHUÂN KHÁC THUÂN,12.898.437.773,16.523.994.174,12898437773.0,16523994174.0
