row_label_raw,row_label_full,Trả trước cho người bán- Công ty TNHH Cường Bách- Công ty Cổ phần Đầu tư Xây dựng Samcons Việt Nam- Các khoản trả trước khác,Số cuối năm > 26.234.722.7253.059.102.000,Đơn vị tính: VND Số đầu năm > 33.637.894.131-14.555.795.307,numeric__Số cuối năm > 26.234.722.7253.059.102.000,numeric__Đơn vị tính: VND Số đầu năm > 33.637.894.131-14.555.795.307
Trả trước cho các bên liên quan,Trả trước cho các bên liên quan,Trả trước cho các bên liên quan,23.175.620.725,19.082.098.824-,23175620725.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,26.234.722.725,33.637.894.131,26234722725.0,33637894131.0
Dự phòng trả trước khó đòi (Thuyết minh số 9),Dự phòng trả trước khó đòi (Thuyết minh số 9),Dự phòng trả trước khó đòi (Thuyết minh số 9),(8.494.680.001),(8.494.680.001),-8494680001.0,-8494680001.0
